iter	Passed	Remaining
400	20984	83678
401	21034	83615
402	21083	83550
403	21132	83484
404	21192	83463
405	21248	83424
406	21297	83358
407	21347	83297
408	21397	83236
409	21446	83171
410	21495	83105
411	21546	83046
412	21596	82985
413	21646	82926
414	21695	82862
415	21747	82805
416	21796	82741
417	21846	82680
418	21895	82616
419	21943	82550
420	21993	82487
421	22042	82424
422	22092	82363
423	22142	82303
424	22201	82274
425	22252	82217
426	22301	82155
427	22350	82091
428	22399	82026
429	22448	81964
430	22498	81901
431	22548	81841
432	22596	81775
433	22646	81715
434	22695	81652
435	22744	81589
436	22794	81527
437	22844	81468
438	22894	81407
439	22944	81348
440	22994	81290
441	23043	81225
442	23092	81163
443	23140	81097
444	23201	81075
445	23252	81019
446	23302	80958
447	23353	80902
448	23403	80844
449	23452	80781
450	23501	80719
451	23550	80656
452	23600	80596
453	23650	80535
454	23700	80477
455	23750	80417
456	23800	80360
457	23849	80296
458	23900	80239
459	23950	80181
460	23999	80121
461	24049	80060
462	24099	80001
463	24149	79942
464	24209	79916
465	24259	79857
466	24308	79795
467	24356	79732
468	24408	79679
469	24459	79623
470	24507	79559
471	24557	79498
472	24605	79434
473	24655	79375
474	24709	79331
475	24757	79266
476	24807	79207
477	24856	79146
478	24905	79083
479	24955	79025
480	25005	78967
481	25054	78905
482	25104	78846
483	25155	78792
484	25215	78765
485	25264	78704
486	25313	78642
487	25362	78583
488	25412	78523
489	25463	78469
490	25513	78411
491	25562	78349
492	25614	78296
493	25663	78236
494	25714	78183
495	25764	78125
496	25814	78067
497	25864	78008
498	25913	77947
499	25962	77887
500	26011	77825
501	26062	77771
502	26112	77715
503	26161	77654
504	26223	77632
505	26279	77592
506	26329	77534
507	26378	77473
508	26428	77415
509	26478	77358
510	26528	77301
511	26577	77241
512	26628	77186
513	26677	77126
514	26726	77065
515	26775	77006
516	26824	76945
517	26874	76887
518	26921	76823
519	26971	76765
520	27023	76713
521	27071	76651
522	27120	76589
523	27170	76534
524	27232	76509
525	27282	76453
526	27330	76391
527	27382	76338
528	27431	76280
529	27481	76223
530	27532	76167
531	27582	76110
532	27633	76056
533	27683	75999
534	27732	75939
535	27782	75883
536	27831	75824
537	27881	75766
538	27930	75707
539	27979	75648
540	28028	75588
541	28076	75527
542	28126	75470
543	28184	75435
544	28246	75409
545	28306	75380
546	28363	75341
547	28420	75303
548	28485	75285
549	28541	75245
550	28598	75207
551	28655	75169
552	28711	75127
553	28769	75091
554	28826	75053
555	28884	75017
556	28941	74977
557	28999	74942
558	29056	74902
559	29113	74863
560	29170	74824
561	29228	74787
562	29298	74781
563	29355	74741
564	29411	74700
565	29468	74659
566	29524	74617
567	29581	74579
568	29638	74539
569	29695	74498
570	29752	74458
571	29809	74418
572	29865	74377
573	29922	74337
574	29979	74296
575	30034	74253
576	30090	74208
577	30148	74171
578	30204	74128
579	30277	74127
580	30336	74092
581	30392	74049
582	30448	74006
583	30505	73964
584	30568	73938
585	30631	73912
586	30693	73885
587	30755	73854
588	30811	73810
589	30866	73765
590	30927	73734
591	30991	73709
592	31049	73670
593	31105	73626
594	31163	73587
595	31220	73545
596	31288	73530
597	31347	73494
598	31404	73451
599	31461	73410
600	31520	73371
601	31578	73332
602	31635	73291
603	31692	73250
604	31753	73216
605	31814	73183
606	31871	73140
607	31928	73099
608	31987	73061
609	32045	73020
610	32105	72986
611	32164	72947
612	32221	72904
613	32279	72865
614	32350	72854
615	32409	72815
616	32464	72768
617	32521	72726
618	32579	72685
619	32636	72642
620	32693	72599
621	32752	72560
622	32811	72521
623	32871	72484
624	32929	72444
625	32985	72400
626	33044	72361
627	33101	72317
628	33158	72274
629	33217	72234
630	33274	72191
631	33337	72161
632	33389	72106
633	33438	72046
634	33486	71983
635	33535	71922
636	33585	71863
637	33635	71804
638	33684	71743
639	33732	71682
640	33782	71622
641	33830	71560
642	33878	71498
643	33927	71437
644	33977	71379
645	34026	71318
646	34075	71258
647	34125	71199
648	34174	71140
649	34223	71079
650	34272	71018
651	34334	70986
652	34384	70928
653	34435	70870
654	34484	70810
655	34533	70751
656	34583	70693
657	34634	70636
658	34686	70583
659	34737	70526
660	34785	70466
661	34835	70406
662	34884	70348
663	34933	70288
664	34984	70232
665	35034	70174
666	35084	70115
667	35134	70058
