iter	Accuracy	MultiClass
0	0.7315858614	1.519238928
1	0.764518987	1.333762685
2	0.7875538447	1.192557263
3	0.7873094431	1.087005785
4	0.7879204473	1.002030207
5	0.7947636941	0.9296635625
6	0.7954357987	0.8703466158
7	0.7990407234	0.8190619472
8	0.800293282	0.7745352864
9	0.8011486879	0.7360357663
10	0.8025539975	0.7015000377
11	0.8040509577	0.6720059103
12	0.806708826	0.6474192456
13	0.8102221	0.6261294595
14	0.812849418	0.6024390986
15	0.8146213302	0.5835965864
16	0.8154156356	0.5662394289
17	0.8168820456	0.5505445362
18	0.8173097486	0.5357447954
19	0.8182568051	0.5221936219
20	0.8200287172	0.5114057836
21	0.8221366816	0.5005650131
22	0.8243057465	0.4908693341
23	0.824672349	0.4821001028
24	0.825833257	0.4733669596
25	0.8261082088	0.4664330209
26	0.8317294473	0.4585790852
27	0.8327681545	0.4525865354
28	0.8326459536	0.446390274
29	0.8341429139	0.4403031133
30	0.8358842758	0.4349014701
31	0.8358842758	0.4303120535
32	0.8402224055	0.424044762
33	0.8397947026	0.419743681
34	0.8412000122	0.4161232906
35	0.8422998198	0.4122167832
36	0.8474322549	0.4078938579
37	0.8478599578	0.4051254364
38	0.8487459139	0.4018118763
39	0.8519842361	0.3978819058
40	0.8529312926	0.3933365354
41	0.8521369871	0.3904379441
42	0.8534811963	0.3879295899
43	0.854886506	0.3857407206
44	0.8564751169	0.3831753447
45	0.8594690374	0.3797003728
46	0.8595301378	0.378275807
47	0.8594995876	0.3759391022
48	0.8622796566	0.3723764746
49	0.8626462591	0.3707373088
50	0.8635933156	0.3681912547
51	0.8643265206	0.3661396623
52	0.8653346775	0.3640226743
53	0.8654874286	0.3622175348
54	0.8654263282	0.3606849329
55	0.8670760395	0.3587090216
56	0.8676870437	0.3568435299
57	0.8682063972	0.3540489636
58	0.8686341001	0.3529419586
59	0.8700088596	0.3496601267
60	0.8710475667	0.3483711556
61	0.8709864663	0.3472846834
62	0.8712003177	0.34579054
63	0.8720557236	0.3439237692
64	0.8721473742	0.342711612
65	0.872850029	0.341494063
66	0.8739192863	0.3389970353
67	0.8755689976	0.3363378574
68	0.8772187089	0.3339606201
69	0.8780435646	0.3321358517
70	0.8783490667	0.3311918867
71	0.878685119	0.3296000308
72	0.8798460269	0.3277915147
73	0.880151529	0.3264909485
74	0.880731983	0.3248344356
75	0.8808541839	0.3229881198
76	0.8814957382	0.3219349144
77	0.8815873889	0.3209646972
78	0.8823816943	0.319014335
79	0.8829010479	0.3172525487
80	0.8829315981	0.3162938819
81	0.8836342529	0.3151156918
82	0.8836342529	0.3139611945
83	0.8856200165	0.3121708971
84	0.8865365228	0.3104289363
85	0.886719824	0.3093701179
86	0.887147527	0.3076412392
87	0.8876974307	0.306522314
88	0.8877585311	0.3056477806
89	0.8884306357	0.3038678602
90	0.8892860416	0.3020183373
91	0.8898359454	0.3008545346
92	0.8900497968	0.2995331898
93	0.8904469496	0.2980898617
94	0.8911190542	0.2972217041
95	0.8920661107	0.2957993773
96	0.892402163	0.2944848631
97	0.8929215165	0.2934132567
98	0.8933797697	0.292331024
99	0.8945101274	0.2907094351
100	0.8949683805	0.2899173858
101	0.8952127822	0.2889377468
102	0.8958848868	0.2878202126
103	0.8960987383	0.2872910363
