iter	Passed	Remaining
0	66	132340
1	138	138157
2	203	135700
3	265	132449
4	318	127256
5	377	125364
6	440	125368
7	511	127349
8	569	125902
9	625	124536
10	677	122548
11	735	121838
12	797	121849
13	861	122234
14	972	128692
15	1031	127959
16	1094	127706
17	1151	126775
18	1206	125751
19	1258	124633
20	1312	123722
21	1368	123056
22	1422	122280
23	1473	121338
24	1522	120245
25	1573	119468
26	1623	118611
27	1673	117845
28	1723	117169
29	1782	117028
30	1840	116894
31	1899	116823
32	1984	118279
33	2054	118777
34	2118	118957
35	2178	118860
36	2238	118740
37	2297	118648
38	2354	118402
39	2412	118202
40	2470	118047
41	2526	117801
42	2584	117624
43	2644	117544
44	2701	117363
45	2758	117194
46	2815	116997
47	2874	116904
48	2933	116790
49	3011	117458
50	3096	118339
51	3152	118094
52	3210	117948
53	3268	117803
54	3325	117616
55	3385	117523
56	3442	117338
57	3502	117261
58	3559	117098
59	3621	117091
60	3678	116932
61	3739	116875
62	3798	116792
63	3855	116633
64	3914	116524
65	3975	116487
66	4035	116415
67	4197	119260
68	4262	119292
69	4321	119152
70	4380	119010
71	4435	118785
72	4495	118672
73	4556	118596
74	4617	118508
75	4681	118518
76	4737	118309
77	4794	118139
78	4851	117960
79	4911	117869
80	4973	117817
81	5029	117645
82	5087	117507
83	5143	117327
84	5240	118067
85	5303	118038
86	5360	117875
87	5419	117740
88	5474	117555
89	5530	117373
90	5589	117258
91	5649	117171
92	5706	117022
93	5766	116923
94	5826	116841
95	5884	116711
96	5940	116549
97	5997	116402
98	6053	116239
99	6112	116144
100	6171	116041
101	6259	116480
102	6321	116423
103	6391	116529
104	6450	116414
105	6508	116292
106	6567	116193
107	6627	116108
108	6679	115875
109	6725	115564
110	6774	115283
111	6821	114983
112	6868	114705
113	6916	114417
114	6963	114139
115	7011	113873
116	7058	113592
117	7106	113335
118	7154	113096
119	7206	112901
120	7276	112992
121	7355	113229
122	7407	113032
123	7457	112830
124	7508	112624
125	7557	112404
126	7608	112206
127	7659	112015
128	7708	111807
129	7758	111603
130	7808	111399
131	7866	111320
132	7916	111134
133	7967	110954
134	8016	110750
135	8063	110522
136	8111	110306
137	8157	110071
138	8204	109844
139	8252	109639
140	8299	109425
141	8387	109750
142	8436	109555
143	8482	109324
144	8529	109116
145	8578	108939
146	8627	108759
147	8676	108570
148	8730	108461
149	8780	108287
150	8831	108146
151	8880	107974
152	8927	107765
153	8973	107570
154	9020	107377
155	9070	107223
156	9119	107051
157	9166	106863
158	9213	106685
159	9261	106505
160	9309	106341
161	9405	106709
162	9468	106707
163	9527	106656
164	9579	106538
165	9627	106370
166	9674	106189
167	9723	106028
168	9773	105888
169	9821	105729
170	9869	105567
171	9916	105391
172	9962	105215
173	10010	105056
174	10065	104964
175	10113	104808
176	10159	104640
177	10208	104490
178	10255	104330
179	10303	104177
180	10351	104029
181	10399	103884
182	10492	104176
183	10540	104031
184	10587	103876
185	10636	103734
186	10684	103588
187	10731	103438
188	10779	103291
189	10825	103122
190	10871	102965
191	10918	102815
192	10966	102675
193	11013	102525
194	11063	102411
195	11112	102278
196	11159	102137
197	11207	102002
198	11256	101870
199	11303	101728
200	11350	101592
201	11399	101470
202	11448	101346
203	11606	102182
204	11655	102058
205	11702	101916
206	11750	101779
207	11796	101635
208	11844	101501
209	11892	101365
210	11938	101223
211	11984	101077
212	12035	100976
213	12084	100854
214	12131	100721
215	12178	100588
216	12225	100449
217	12272	100319
218	12321	100200
219	12368	100069
220	12414	99936
221	12462	99809
222	12508	99672
223	12554	99538
224	12643	99743
225	12692	99627
226	12739	99504
227	12787	99383
228	12834	99258
229	12886	99168
230	12934	99056
231	12984	98947
232	13033	98840
233	13080	98718
234	13127	98598
235	13173	98468
236	13220	98346
237	13267	98225
238	13315	98109
239	13362	97993
240	13410	97880
241	13458	97771
242	13506	97656
243	13553	97537
244	13625	97605
245	13700	97684
246	13754	97621
247	13802	97509
248	13851	97404
249	13898	97290
250	13952	97219
251	13999	97109
252	14049	97013
253	14097	96907
254	14145	96799
255	14191	96682
256	14238	96569
257	14284	96450
258	14331	96335
259	14379	96231
260	14425	96116
261	14472	96005
262	14523	95923
263	14572	95823
264	14620	95722
265	14702	95843
266	14764	95831
267	14814	95739
268	14862	95638
269	14909	95534
270	14959	95444
271	15008	95345
272	15057	95254
273	15103	95143
274	15149	95031
275	15196	94923
276	15244	94824
277	15294	94735
278	15342	94637
279	15391	94546
280	15438	94444
281	15486	94346
282	15533	94240
283	15580	94139
284	15628	94044
285	15674	93938
286	15761	94077
287	15818	94031
288	15867	93942
289	15914	93843
290	15962	93743
291	16009	93646
292	16056	93546
293	16104	93449
294	16150	93345
295	16196	93242
296	16244	93144
297	16291	93049
298	16339	92956
299	16388	92866
300	16435	92772
301	16482	92673
302	16528	92573
303	16575	92473
304	16624	92390
305	16672	92299
306	16721	92214
307	16785	92210
308	16875	92351
309	16921	92246
310	16967	92146
311	17013	92046
312	17060	91950
313	17107	91856
314	17153	91759
315	17200	91662
316	17246	91564
317	17293	91469
318	17341	91381
319	17387	91285
320	17433	91187
321	17480	91091
322	17526	90998
323	17573	90904
324	17620	90811
325	17667	90722
326	17718	90651
327	17775	90613
328	17862	90726
329	17947	90822
330	18003	90777
331	18058	90728
332	18117	90694
333	18174	90654
334	18229	90605
335	18286	90560
336	18343	90519
337	18399	90474
338	18458	90440
339	18514	90392
340	18570	90346
341	18628	90310
342	18683	90258
343	18741	90222
344	18800	90189
345	18856	90140
346	18996	90492
347	19083	90593
348	19143	90560
349	19202	90525
350	19258	90478
351	19315	90432
352	19371	90381
353	19429	90340
354	19486	90298
355	19546	90266
356	19603	90222
357	19661	90178
358	19716	90122
359	19776	90092
360	19835	90058
361	19892	90011
362	19951	89973
363	20011	89942
364	20117	90116
365	20191	90142
366	20251	90109
367	20306	90054
368	20364	90012
369	20422	89971
370	20478	89915
371	20534	89865
372	20592	89823
373	20651	89784
374	20707	89733
375	20762	89678
376	20824	89649
377	20881	89602
378	20938	89556
379	20997	89514
380	21057	89481
381	21150	89584
382	21211	89552
383	21271	89517
384	21328	89467
385	21388	89430
386	21444	89379
387	21501	89332
388	21556	89272
389	21612	89222
390	21671	89181
391	21732	89148
392	21796	89127
393	21859	89100
394	21926	89093
395	21985	89052
396	22042	89004
397	22099	88952
398	22159	88915
399	22256	89025
400	22315	88984
401	22376	88947
402	22437	88914
403	22496	88870
404	22556	88834
405	22611	88774
406	22670	88730
407	22725	88674
408	22773	88588
409	22824	88515
410	22872	88428
411	22920	88342
412	22966	88251
413	23012	88159
414	23059	88071
415	23106	87981
416	23153	87893
417	23199	87802
418	23292	87888
419	23343	87814
420	23389	87726
421	23438	87643
422	23483	87550
423	23532	87468
424	23578	87379
425	23624	87290
426	23671	87202
427	23718	87117
428	23766	87031
429	23816	86957
430	23864	86873
431	23909	86782
432	23956	86697
433	24002	86608
434	24048	86521
435	24095	86434
436	24140	86343
437	24188	86260
438	24234	86171
439	24320	86226
440	24376	86173
441	24422	86085
442	24468	85999
443	24515	85914
444	24561	85828
445	24609	85747
446	24655	85661
447	24702	85575
448	24749	85493
449	24799	85419
450	24848	85344
451	24895	85260
452	24941	85175
453	24987	85090
454	25033	85005
455	25080	84922
456	25126	84836
457	25172	84752
458	25220	84671
459	25266	84586
460	25312	84504
461	25404	84572
462	25456	84507
463	25503	84424
464	25548	84339
465	25595	84257
466	25642	84175
467	25689	84094
468	25742	84032
469	25791	83958
470	25840	83884
471	25887	83803
472	25933	83722
473	25979	83639
474	26026	83559
475	26074	83481
476	26120	83399
477	26166	83315
478	26212	83235
479	26259	83154
480	26306	83076
481	26353	82997
482	26495	83217
483	26552	83168
484	26607	83114
485	26654	83033
486	26703	82962
487	26754	82896
488	26802	82819
489	26851	82744
490	26898	82667
491	26944	82586
492	26991	82507
493	27039	82432
494	27091	82370
495	27139	82292
496	27186	82217
497	27233	82139
498	27280	82058
499	27325	81977
500	27372	81899
501	27418	81819
502	27467	81747
503	27553	81785
504	27608	81732
505	27656	81656
506	27702	81578
507	27749	81500
508	27795	81420
509	27841	81339
510	27888	81263
511	27935	81186
512	27981	81108
513	28028	81031
514	28076	80959
515	28126	80891
516	28175	80819
517	28222	80744
518	28271	80673
519	28318	80598
520	28365	80522
521	28411	80445
522	28459	80372
523	28506	80296
524	28560	80241
525	28657	80305
526	28714	80259
527	28766	80197
528	28814	80125
529	28862	80051
530	28909	79977
531	28956	79903
532	29003	79828
533	29050	79752
534	29097	79678
535	29144	79604
536	29191	79528
537	29238	79454
538	29285	79381
539	29332	79307
540	29380	79233
541	29433	79176
542	29482	79107
543	29529	79033
544	29575	78958
545	29662	78990
546	29717	78939
547	29765	78867
548	29813	78796
549	29860	78722
550	29908	78651
551	29957	78582
552	30004	78510
553	30055	78447
554	30104	78381
555	30152	78310
556	30199	78237
557	30247	78166
558	30294	78094
559	30343	78025
560	30388	77947
561	30434	77874
562	30481	77800
563	30526	77724
564	30573	77652
565	30619	77577
566	30689	77562
567	30766	77567
568	30823	77519
569	30872	77453
570	30921	77385
571	30979	77340
