iter	Accuracy	MultiClass
0	0.7362086872	1.518512001
1	0.7599425744	1.333608112
2	0.7762538946	1.194337957
3	0.7858451952	1.088289583
4	0.7912517564	1.004490498
5	0.7965666809	0.9314235115
6	0.7957419512	0.8727548703
7	0.7997434174	0.8207000293
8	0.8016983322	0.7770612273
9	0.8032561549	0.7370615485
10	0.8041419757	0.7011311967
11	0.8049056143	0.6727971496
12	0.8048445232	0.6475896137
13	0.805058342	0.6256910952
14	0.8089987171	0.6057094396
15	0.8138554585	0.5863597649
16	0.8154132812	0.5697127962
17	0.8169711039	0.5531970311
18	0.8192620197	0.539301342
19	0.820514387	0.5255346765
20	0.8217362087	0.5143970993
21	0.8273565887	0.5020818549
22	0.8278453174	0.4933538353
23	0.8275093164	0.483531372
24	0.8292809579	0.4760921625
25	0.8302889608	0.4692693071
26	0.8309915083	0.4632636135
27	0.8333740607	0.4559488307
28	0.8339849716	0.4501839505
29	0.8347486102	0.4457823186
30	0.835359521	0.4412947069
31	0.8362453418	0.4365946751
32	0.8371311626	0.4321372434
33	0.8380780744	0.4286243426
34	0.8412242654	0.4232626545
35	0.8421406317	0.4202131142
36	0.846203189	0.41558017
37	0.8503573829	0.4100485849
38	0.8514570224	0.4067434403
39	0.8521901155	0.4040213359
40	0.8537784837	0.3999628644
41	0.8543893946	0.3978497899
42	0.8551835787	0.3945074443
43	0.8567108559	0.3910313601
44	0.8577494044	0.3883372557
45	0.8581464964	0.3849311014
46	0.8597348647	0.3817007201
47	0.8605595944	0.3789256786
48	0.8608955953	0.3760553171
49	0.860651231	0.3736267595
50	0.8615675973	0.3705265503
51	0.8621479626	0.3690337473
52	0.8631865111	0.3650503606
53	0.8641639685	0.3636947123
54	0.8653857902	0.3620239757
55	0.8661799743	0.3595128136
56	0.8668825218	0.3579524027
57	0.8670963406	0.3562201567
58	0.8687152544	0.3534038871
59	0.8700287128	0.3515954947
60	0.8703341682	0.3501201908
61	0.8708534425	0.348704976
62	0.8722585375	0.3466305863
63	0.8725639929	0.3445333434
64	0.8742134523	0.341707412
65	0.8754963651	0.3402265968
66	0.8762905492	0.3385339134
67	0.8776040076	0.3359464832
68	0.8790701937	0.333721667
69	0.8794061946	0.3327291605
70	0.8798338322	0.3313694332
71	0.8803531065	0.3298937384
72	0.8816665648	0.3282718459
73	0.8822163846	0.3266875818
74	0.8824302034	0.3254342392
75	0.8827662044	0.3244745841
76	0.883529843	0.3231890852
77	0.8839880261	0.3214235114
78	0.884934938	0.31994404
79	0.8858513043	0.3187216495
80	0.8866454884	0.316804548
81	0.8879589468	0.3152773476
82	0.8879894923	0.314131328
83	0.8875924003	0.3128403483
84	0.8879284012	0.3119923991
85	0.8885698577	0.3109783932
86	0.8895167695	0.3092021034
87	0.8897000428	0.308702312
88	0.8896084061	0.3073349828
89	0.8907385912	0.3061535468
90	0.8911662288	0.3046673757
91	0.8921131407	0.3024968308
92	0.892693506	0.3007904007
93	0.8938236911	0.2994454718
94	0.8940375099	0.2984274449
95	0.8941291466	0.2970604259
96	0.8942207832	0.2959083634
97	0.8953204228	0.2946222424
98	0.8965116989	0.2926353964
99	0.8970309732	0.2919743016
100	0.8970309732	0.2910163202
101	0.8971837009	0.2901981095
102	0.8980389761	0.2885511211
103	0.8988637058	0.2877096621
104	0.8994440711	0.2872422218
105	0.8995662533	0.2858164862
106	0.8999327998	0.2850438032
107	0.8999938909	0.2841193934
108	0.9006964384	0.2827666931
109	0.901124076	0.2821024157
110	0.9016433502	0.2812371175
111	0.9017655324	0.2801503318
112	0.9028346264	0.2788619835
113	0.9031400819	0.2775309901
114	0.9033539007	0.2768292823
115	0.9040869937	0.2759414625
116	0.9043619036	0.2753026142
117	0.9046368135	0.2740137468
118	0.9055837253	0.2724208927
119	0.9056142709	0.2717629561
120	0.9056142709	0.2709423614
121	0.906072454	0.2703780599
122	0.9061946362	0.2696031297
123	0.9064695461	0.2688610098
124	0.9074470035	0.2676052444
125	0.9078746411	0.2669930223
126	0.9083939153	0.2655302853
127	0.9088520985	0.265015219
128	0.9093408272	0.2644911401
