iter	Passed	Remaining
0	73	146665
1	144	144240
2	205	137067
3	264	131890
4	317	126519
5	379	126231
6	433	123380
7	487	121505
8	542	120114
9	596	118754
10	653	118105
11	711	117917
12	778	119027
13	1027	145761
14	1210	160175
15	1278	158548
16	1343	156759
17	1408	155095
18	1475	153891
19	1554	153881
20	1621	152825
21	1682	151249
22	1744	149936
23	1798	148070
24	1853	146419
25	1914	145322
26	1972	144152
27	2032	143133
28	2089	142011
29	2145	140861
30	2306	146512
31	2482	152662
32	2663	158750
33	2732	158025
34	2821	158413
35	2918	159212
36	3007	159574
37	3116	160925
38	3207	161297
39	3297	161553
40	3369	161000
41	3439	160342
42	3527	160563
43	3640	161844
44	3941	171243
45	4203	178552
46	4308	179051
47	4403	179088
48	4494	178971
49	4578	178566
50	4674	178633
51	4748	177900
52	4823	177183
53	4895	176433
54	5001	176880
55	5114	177537
56	5239	178618
57	5564	186326
58	5781	190211
59	5853	189276
60	5929	188496
61	6009	187844
62	6116	188056
63	6240	188768
64	6313	187950
65	6379	186931
66	6441	185843
67	6507	184903
68	6582	184213
69	6649	183333
70	6716	182477
71	6900	184775
72	7231	190887
73	7304	190119
74	7378	189381
75	7443	188434
76	7519	187804
77	7600	187286
78	7685	186873
79	7754	186099
80	7818	185223
81	7884	184414
82	7951	183646
83	8013	182774
84	8064	181697
85	8121	180748
86	8183	179933
87	8239	179015
88	8379	179924
89	8728	185246
90	8826	185163
91	8913	184858
92	9001	184573
93	9076	184041
94	9168	183843
95	9252	183509
96	9309	182633
97	9361	181685
98	9413	180765
99	9472	179980
100	9534	179262
101	9601	178669
102	9665	178007
103	9754	177840
104	9938	179370
105	10154	181435
106	10259	181513
107	10341	181166
108	10408	180571
109	10475	179990
110	10569	179867
111	10640	179374
112	10707	178807
113	10776	178278
114	10847	177812
115	10914	177260
116	11007	177149
117	11086	176816
118	11249	177822
119	11439	179223
120	11648	180895
121	11708	180228
122	11769	179603
123	11833	179027
124	11896	178440
125	11955	177811
126	12021	177290
127	12082	176712
128	12139	176068
129	12195	175422
130	12250	174773
131	12304	174125
132	12356	173457
133	12415	172889
134	12468	172249
135	12538	171851
136	12713	172888
137	12885	173866
138	13071	175006
139	13134	174497
140	13215	174242
141	13282	173797
142	13348	173343
143	13424	173021
144	13495	172650
145	13563	172235
146	13619	171684
147	13680	171192
148	13738	170674
149	13837	170659
150	13895	170150
151	13954	169656
152	14028	169346
153	14252	170843
154	14447	171974
155	14510	171521
156	14584	171200
157	14641	170697
158	14701	170219
159	14761	169756
160	14817	169250
161	14871	168728
162	14922	168178
163	14970	167601
164	15018	167026
165	15066	166458
166	15114	165898
167	15164	165368
168	15213	164828
169	15262	164291
170	15309	163749
171	15362	163269
172	15418	162830
173	15582	163530
174	15754	164295
175	15893	164717
176	15951	164295
177	16008	163859
178	16062	163406
179	16119	162990
180	16178	162589
181	16241	162236
182	16290	161749
183	16338	161256
184	16393	160829
185	16447	160406
186	16511	160082
187	16574	159748
188	16660	159645
189	16747	159543
190	16811	159222
191	16885	159003
192	17145	160525
193	17364	161649
194	17441	161443
195	17513	161195
196	17582	160919
197	17643	160575
198	17707	160257
199	17767	159904
200	17827	159562
