iter	Accuracy	MultiClass
180	0.9240521798	0.2272616569
181	0.924235481	0.2264587872
182	0.9246937342	0.2253482794
183	0.9251825375	0.2247810765
184	0.9257324413	0.2243042356
185	0.9259462927	0.2239434983
186	0.9260073932	0.2233142746
187	0.9265572969	0.2228662251
188	0.9264961965	0.2225597457
189	0.926710048	0.2220983943
190	0.926862799	0.2218184505
191	0.9271377509	0.2212690163
192	0.9273821526	0.2206108588
193	0.927596004	0.220042663
194	0.9278098555	0.2197076788
195	0.9282070082	0.2191647704
196	0.9283597593	0.2188407469
197	0.9286652614	0.2184393856
198	0.928909663	0.2181465036
199	0.9287874622	0.2177161948
200	0.9293068158	0.2171134232
201	0.9297039685	0.2167413811
202	0.9298261693	0.2162165294
203	0.930070571	0.2154502544
204	0.9304371735	0.2152040005
205	0.9305288241	0.2146600077
206	0.930651025	0.214428575
207	0.9308343262	0.2141765476
208	0.9310481777	0.2136112828
209	0.9311703785	0.2131729301
210	0.9312620291	0.2125901558
211	0.9316591819	0.2120666666
212	0.9316286317	0.211512995
213	0.9317508325	0.2112593935
214	0.9322701861	0.2106491701
215	0.932697889	0.2100197304
216	0.9329422907	0.2098153724
217	0.933278343	0.2094896813
218	0.9333394434	0.2092324262
219	0.9337671463	0.2085085755
220	0.9338893471	0.208270106
221	0.9345003513	0.2078391802
222	0.934592002	0.2072858511
223	0.934592002	0.2067859136
224	0.935325207	0.205902693
225	0.935477958	0.2055875852
226	0.9353863074	0.2050134147
227	0.9355696087	0.2046146431
228	0.9360278618	0.2041656798
229	0.9361500626	0.2037405611
230	0.9365166651	0.203188831
231	0.9368221672	0.2029222312
232	0.9369749183	0.2024346345
233	0.9370971191	0.2022043194
234	0.93721932	0.2018731088
235	0.9374026212	0.2017185307
236	0.9377081233	0.2013901104
237	0.9377386735	0.2010953329
238	0.9383496777	0.2004943034
239	0.9385024287	0.2002618686
240	0.9385940794	0.1999070965
241	0.9389606819	0.1990649367
242	0.9396022363	0.1985480535
243	0.939418935	0.1982060783
244	0.9395716861	0.1978684041
245	0.9400299392	0.1974535779
246	0.9400299392	0.1971719913
247	0.9403965417	0.196719514
248	0.9408853451	0.1960581035
249	0.9410380961	0.195605121
250	0.9413741484	0.1949342901
251	0.9412519476	0.1947670509
252	0.9413741484	0.1944190998
253	0.942046253	0.1939301492
254	0.9423212049	0.1933849929
255	0.9423823053	0.1931841341
256	0.9425961568	0.1928059378
257	0.9427183576	0.1924589494
258	0.9429016589	0.192144227
259	0.9429322091	0.1917299664
260	0.9431766108	0.1914914035
261	0.9431460606	0.1912401013
262	0.943207161	0.1908917645
263	0.943207161	0.1906227689
264	0.9434515626	0.1901267938
265	0.9434821129	0.1898226323
266	0.9436043137	0.1896433846
267	0.9437570647	0.1890496534
268	0.9441236672	0.1885958195
269	0.9444902698	0.1879234685
270	0.9449179727	0.1874862328
271	0.945254025	0.1872666334
272	0.9455289769	0.1869007862
273	0.9456206275	0.186441151
274	0.9456817279	0.1861193676
275	0.9459261296	0.1857064589
276	0.9460177802	0.185473317
277	0.9463538325	0.1851184078
278	0.9462010815	0.1846171713
279	0.9464149329	0.1843164866
280	0.9470870375	0.1836410045
281	0.9472092384	0.1832914265
282	0.9472703388	0.1830454231
283	0.9473925396	0.1827583501
284	0.9477896924	0.1823986315
285	0.9479118932	0.1821235295
286	0.9479118932	0.1819548343
287	0.9479729936	0.1816804768
288	0.948034094	0.1810522069
289	0.9481257447	0.180836216
290	0.9481868451	0.1803729741
291	0.9484006965	0.1801547684
292	0.9487367488	0.1798760238
293	0.9490728011	0.1794119605
294	0.9490117007	0.1790702778
295	0.949347753	0.1789072075
296	0.9493172028	0.1783166053
297	0.9497143555	0.1781120984
298	0.9497449058	0.177686576
299	0.949775456	0.1773833866
300	0.9498671066	0.1771485277
301	0.9500198576	0.1769833562
302	0.9503559099	0.1765383734
303	0.9506308618	0.1759795356
304	0.9510280145	0.1757351944
305	0.9509058137	0.175612833
306	0.9507225124	0.1754712659
307	0.9508447133	0.1752544773
308	0.9509669141	0.1751168281
309	0.951089115	0.174843158
310	0.9512724162	0.174454623
311	0.9516084685	0.1742599764
312	0.9516084685	0.1741627136
313	0.9518528702	0.1736931956
314	0.9518528702	0.1735362567
315	0.9518528702	0.1733303737
316	0.9521889225	0.1730932559
317	0.9522500229	0.1729435187
318	0.952402774	0.1727884597
319	0.9522194727	0.1725160554
320	0.9524638744	0.1723048065
321	0.9526777258	0.1720263541
322	0.9528304769	0.1718598964
323	0.9529832279	0.1713341351
324	0.9531970794	0.1709810997
325	0.9534109309	0.1706299446
326	0.9536553325	0.1704228159
327	0.9536553325	0.1700266463
328	0.9536858827	0.169498782
329	0.9538080836	0.1692616188
330	0.9536858827	0.1690664683
331	0.9541746861	0.1686651864
332	0.9541441359	0.168526809
333	0.9541746861	0.1684323181
334	0.954449638	0.1681505201
335	0.9546329392	0.1679002204
336	0.9546329392	0.1677007068
337	0.9549995417	0.1674946021
338	0.9549078911	0.1672810295
339	0.9551217426	0.1671334477
340	0.955182843	0.166815831
341	0.955335594	0.1662743693
342	0.955335594	0.1660232668
343	0.9557021966	0.1656488753
344	0.9557938472	0.1653940073
345	0.9558549476	0.1652890481
346	0.9558854978	0.1651585433
347	0.9558854978	0.1648362484
348	0.9560993493	0.164580858
349	0.9566798033	0.1642350463
350	0.9567103535	0.1639811603
351	0.9570158556	0.1638210304
352	0.9571380564	0.1636388976
353	0.9572602572	0.1632017714
354	0.9573519079	0.1628966456
355	0.9575046589	0.1626055984
356	0.9575963095	0.1624774074
357	0.9578407112	0.1622021492
358	0.9582073137	0.1619702491
359	0.9580545627	0.161538682
360	0.9580545627	0.1613274815
361	0.9580545627	0.1611807338
362	0.958390615	0.1609067624
363	0.9584517154	0.1606411356
364	0.9587572175	0.1603824134
365	0.9588488681	0.160193785
366	0.9588183179	0.159901623
367	0.9590016192	0.1597324934
368	0.9593376715	0.1594495799
