iter	Passed	Remaining
0	54	107983
1	123	123233
2	174	116236
3	225	112581
4	277	110625
5	327	108838
6	378	107739
7	448	111596
8	590	130557
9	648	129140
10	710	128528
11	768	127347
12	825	126133
13	876	124404
14	928	122914
15	980	121567
16	1031	120271
17	1082	119171
18	1133	118141
19	1183	117138
20	1233	116271
21	1285	115563
22	1334	114737
23	1385	114034
24	1436	113460
25	1487	112914
26	1538	112423
27	1701	119840
28	1809	122998
29	1870	122851
30	1944	123478
31	2002	123158
32	2060	122809
33	2118	122486
34	2174	122102
35	2234	121924
36	2294	121755
37	2353	121491
38	2411	121250
39	2470	121035
40	2528	120824
41	2589	120703
42	2646	120456
43	2704	120239
44	2779	120775
45	2943	125017
46	3007	124991
47	3071	124892
48	3134	124792
49	3190	124418
50	3247	124110
51	3305	123811
52	3365	123632
53	3425	123458
54	3483	123181
55	3543	123014
56	3600	122744
57	3660	122553
58	3718	122328
59	3778	122163
60	3836	121957
61	3895	121776
62	3970	122074
63	4117	124544
64	4213	125441
65	4287	125647
66	4350	125526
67	4416	125487
68	4474	125215
69	4532	124972
70	4590	124710
71	4649	124503
72	4707	124262
73	4766	124057
74	4824	123837
75	4882	123614
76	4940	123383
77	4998	123168
78	5055	122932
79	5221	125309
80	5334	126379
81	5397	126256
82	5457	126056
83	5515	125817
84	5575	125612
85	5633	125384
86	5693	125196
87	5753	124997
88	5810	124755
89	5869	124556
90	5929	124390
91	5990	124228
92	6048	124029
93	6110	123905
94	6169	123706
95	6226	123490
96	6290	123408
97	6454	125265
98	6520	125207
99	6584	125114
100	6655	125143
101	6717	125001
102	6778	124834
103	6834	124595
104	6887	124298
105	6937	123961
106	6989	123651
107	7040	123334
108	7090	123007
109	7142	122723
110	7193	122417
111	7245	122131
112	7298	121876
113	7348	121573
114	7399	121287
115	7466	121267
116	7673	123497
117	7732	123324
118	7786	123071
119	7836	122774
120	7888	122495
121	7939	122222
122	7990	121943
123	8041	121656
124	8091	121374
125	8142	121104
126	8192	120819
127	8245	120587
128	8296	120332
129	8347	120073
130	8396	119799
131	8446	119530
132	8498	119295
133	8549	119056
134	8601	118823
135	8659	118682
136	8805	119745
137	8865	119618
138	8920	119435
139	8983	119356
140	9037	119157
141	9089	118934
142	9139	118688
143	9189	118441
144	9238	118193
145	9289	117963
146	9340	117738
147	9389	117496
148	9439	117268
149	9488	117030
150	9537	116791
151	9589	116590
152	9640	116378
153	9691	116172
154	9743	115984
155	9814	116015
156	9949	116794
157	10007	116669
158	10065	116540
159	10116	116335
160	10166	116123
161	10217	115928
162	10268	115725
163	10320	115539
164	10371	115344
165	10423	115155
166	10473	114952
167	10523	114756
168	10576	114591
169	10628	114410
170	10679	114225
171	10729	114027
172	10778	113825
173	10829	113649
174	10881	113478
175	11007	114079
176	11149	114834
177	11207	114720
178	11265	114605
179	11328	114541
180	11379	114358
181	11431	114193
182	11482	114008
183	11533	113834
184	11583	113645
185	11633	113456
186	11684	113284
187	11733	113091
188	11783	112907
189	11834	112736
190	11884	112555
191	11932	112369
192	11983	112194
193	12032	112016
194	12083	111849
195	12152	111853
196	12289	112474
197	12348	112380
198	12407	112290
199	12466	112194
200	12517	112033
201	12566	111857
202	12616	111681
203	12666	111511
204	12715	111334
205	12765	111171
206	12814	110996
207	12864	110833
208	12913	110662
209	12963	110500
210	13013	110341
211	13064	110189
212	13114	110026
213	13163	109856
214	13214	109713
215	13274	109634
216	13489	110839
