iter	Accuracy	MultiClass
0	0.7380930559	1.517765652
1	0.7591727003	1.333151232
2	0.7789081355	1.192809799
3	0.787156692	1.086604479
4	0.7934194849	1.001153438
5	0.796932759	0.9289685631
6	0.7972382611	0.8698406315
7	0.8013014389	0.8175765914
8	0.8030428008	0.7728767781
9	0.8028594996	0.7362118789
10	0.8037760059	0.7044652131
11	0.8044481105	0.6764593824
12	0.807594782	0.6515307769
13	0.8052729661	0.6292679962
14	0.8082974368	0.606670495
15	0.8119634619	0.5873966046
16	0.8110469557	0.5693584761
17	0.8140408762	0.5533005973
18	0.8187150582	0.5389060459
19	0.8158433385	0.5261391348
20	0.8176763511	0.5154550979
21	0.8200592674	0.503493416
22	0.8210674243	0.4942612744
23	0.831087893	0.4833687915
24	0.8314544955	0.4751903828
25	0.8298047842	0.4680188375
26	0.8303241377	0.4615880974
27	0.8359453762	0.4527195884
28	0.8376256377	0.4452057019
29	0.8391531482	0.4393419458
30	0.8408945101	0.434028745
31	0.8420248679	0.4290862765
32	0.8436134788	0.4245154126
33	0.8441328323	0.4213063604
34	0.8449271378	0.4171254974
35	0.8454770415	0.4145475288
36	0.848470962	0.4103527085
37	0.8493263679	0.4063272269
38	0.8525341399	0.4029755432
39	0.8514648825	0.4000294713
40	0.8535422968	0.3960603682
41	0.8546421043	0.3925381339
42	0.8564140164	0.3895842488
43	0.8573305227	0.3865907479
44	0.8584914307	0.3839799695
45	0.8595912382	0.3807503201
46	0.8598356399	0.3774377405
47	0.8597745395	0.3747452893
48	0.8618214035	0.3717276986
49	0.8632267131	0.3689703758
50	0.8647847738	0.3658428362
51	0.8657929307	0.3634938566
52	0.8658845813	0.36070677
53	0.8670760395	0.3587656924
54	0.8685729997	0.3564830284
55	0.8687868512	0.3546769986
56	0.8697950081	0.3527869091
57	0.8711392173	0.3505676624
58	0.872269575	0.3492844689
59	0.8737970855	0.347238535
60	0.8747746922	0.3458077526
61	0.8754162466	0.344199509
62	0.8753856964	0.3428151222
63	0.8757217487	0.3414749012
64	0.8757522989	0.3401910375
65	0.8759967006	0.3385834769
66	0.8763633031	0.3371901747
67	0.8780130144	0.3347588602
68	0.87883787	0.3335132508
69	0.8796016253	0.3314437385
70	0.8800904286	0.3304808283
71	0.8808236336	0.3290597013
72	0.8811902362	0.3275925895
73	0.8812513366	0.3266672795
74	0.8819234412	0.3253516565
75	0.8828399475	0.3241364379
76	0.8824427947	0.3223278169
77	0.8825649956	0.3213476638
78	0.8839092048	0.3195503152
79	0.8838786546	0.3183487831
80	0.8842452571	0.3172531172
81	0.8845813094	0.3160495937
82	0.8853145144	0.3145791794
83	0.8860782696	0.3131972855
84	0.8868420249	0.3113094878
85	0.8873308282	0.3102819485
86	0.8881556839	0.3084098685
87	0.8890110897	0.3069562406
88	0.889927596	0.3054544624
89	0.89050805	0.303631843
90	0.8911496044	0.3016574936
91	0.8916995081	0.3005381944
92	0.8921272111	0.2996054603
93	0.892554914	0.2981907577
94	0.8925854642	0.2966624948
