iter	Passed	Remaining
0	73	145945
1	125	125131
2	175	117147
3	232	116052
4	284	113494
5	332	110657
6	381	108719
7	431	107332
8	478	105925
9	526	104863
10	574	103865
11	622	103134
12	720	110111
13	886	125739
14	942	124773
15	1003	124456
16	1063	124007
17	1120	123361
18	1172	122297
19	1222	121026
20	1272	119948
21	1325	119214
22	1376	118285
23	1426	117466
24	1477	116688
25	1530	116165
26	1581	115551
27	1639	115484
28	1691	114983
29	1741	114362
30	1792	113845
31	1845	113475
32	2014	120079
33	2180	126063
34	2238	125672
35	2295	125208
36	2354	124930
37	2414	124657
38	2465	123980
39	2516	123329
40	2569	122764
41	2620	122166
42	2672	121649
43	2723	121070
44	2773	120475
45	2824	119961
46	2873	119403
47	2925	118982
48	2977	118547
49	3030	118196
50	3081	117759
51	3130	117278
52	3289	120836
53	3539	127567
54	3600	127339
55	3663	127164
56	3723	126918
57	3783	126689
58	3853	126768
59	3916	126635
60	3972	126274
61	4027	125902
62	4085	125622
63	4144	125357
64	4199	125027
65	4258	124792
66	4320	124644
67	4378	124400
68	4435	124124
69	4491	123834
70	4548	123582
71	4706	126042
72	4822	127292
73	4885	127164
74	4945	126929
75	5011	126874
76	5073	126696
77	5131	126449
78	5189	126202
79	5248	125960
80	5306	125713
81	5367	125538
82	5424	125290
83	5482	125060
84	5537	124750
85	5595	124535
86	5659	124436
87	5721	124323
88	5869	126021
89	6071	128849
90	6136	128728
91	6198	128549
92	6258	128329
93	6320	128153
94	6392	128186
95	6447	127878
96	6502	127577
97	6561	127342
98	6619	127100
99	6676	126852
100	6732	126583
101	6790	126365
102	6846	126103
103	6903	125861
104	6960	125615
105	7019	125420
106	7076	125198
107	7283	127588
108	7417	128677
109	7522	129243
110	7605	129434
111	7677	129414
112	7733	129136
113	7790	128883
114	7848	128643
115	7904	128372
116	7958	128091
117	8016	127858
118	8073	127617
119	8124	127286
120	8172	126907
121	8220	126539
122	8307	126781
123	8355	126417
124	8449	126738
125	8614	128117
126	8670	127871
127	8727	127638
128	8785	127425
129	8834	127081
130	8881	126718
131	8971	126954
132	9019	126614
133	9068	126288
134	9116	125947
135	9164	125613
136	9213	125291
137	9261	124969
138	9317	124743
139	9366	124439
140	9413	124116
141	9460	123790
142	9508	123472
143	9555	123163
144	9689	123956
145	9875	125405
146	9937	125265
147	9994	125068
148	10051	124865
149	10107	124661
150	10162	124446
151	10221	124274
152	10268	123961
153	10317	123676
154	10365	123388
155	10412	123083
156	10460	122789
157	10507	122496
158	10555	122218
159	10602	121923
160	10648	121632
161	10693	121325
162	10739	121035
163	10785	120748
164	10832	120472
165	10887	120291
