iter	Accuracy	MultiClass
0	0.7356732649	1.519045721
1	0.7584005376	1.334733845
2	0.7754765396	1.194151859
3	0.785129521	1.088381813
4	0.7917583089	1.003043643
5	0.794599218	0.9310203229
6	0.7977456012	0.871907885
7	0.8003115836	0.8205535835
8	0.801166911	0.7747933328
9	0.8018084066	0.7367509989
10	0.8040994624	0.7002951981
11	0.8046493157	0.6724527057
12	0.8061155914	0.6468632787
13	0.8078262463	0.6242577121
14	0.811308651	0.6049214952
15	0.8134164223	0.5863475613
16	0.8141495601	0.5694179669
17	0.8168071848	0.5533306943
18	0.818242913	0.5391735511
19	0.8194953568	0.5255594722
20	0.8194648094	0.5146745503
21	0.8207478006	0.5034275306
22	0.8242607527	0.4935744586
23	0.8249633431	0.4851445225
24	0.8257270283	0.4781579839
25	0.8265518084	0.4710087813
26	0.8313172043	0.4633031113
27	0.8330278592	0.4558279675
28	0.8349828935	0.447495824
29	0.8366324536	0.4413795195
30	0.8399315738	0.4348262479
31	0.8413062072	0.4307569434
32	0.8426197458	0.4259655428
33	0.8446664223	0.422106019
34	0.8450329912	0.4188300649
35	0.846804741	0.4142628817
36	0.8468352884	0.4106138868
37	0.8509286413	0.4058274398
38	0.8523338221	0.4030549588
39	0.8546554252	0.3987040416
40	0.8554191105	0.3955977981
41	0.8578934506	0.3924434904
42	0.8589320626	0.388406578
43	0.8592069892	0.3852661098
44	0.8600623167	0.3827305602
45	0.8601845064	0.3804948942
46	0.8607038123	0.3785521199
47	0.8620173509	0.3763405759
48	0.8608870968	0.3738493046
49	0.8611925709	0.3714509404
50	0.8611314761	0.3695345527
51	0.862170088	0.3677241634
52	0.8645833333	0.3646086467
53	0.8650109971	0.3627543146
54	0.8657746823	0.3606407061
55	0.8664467253	0.3590596243
56	0.8675158847	0.3571252251
57	0.8681268328	0.3545088483
58	0.8693487292	0.3520087013
59	0.8703262463	0.3504739867
60	0.871273216	0.3478469859
61	0.8717619746	0.3466812991
62	0.8728311339	0.3455446111
63	0.8729533236	0.3440272091
64	0.8741446725	0.3426975687
65	0.8743890518	0.3403369542
66	0.874847263	0.3386327171
67	0.8758858749	0.3366654192
68	0.876344086	0.3345342922
69	0.8772910557	0.3324192906
70	0.8775965298	0.331237414
71	0.8790933529	0.3296901651
72	0.8796126588	0.3279521985
73	0.8800403226	0.3268717192
74	0.8806818182	0.3253834235
75	0.881414956	0.3241785852
76	0.8823924731	0.3221774225
77	0.8841336755	0.32038218
78	0.8848057185	0.3197717724
79	0.8854777615	0.3184399098
80	0.8859359726	0.3166023571
81	0.8860887097	0.3154731546
82	0.886333089	0.3144637625
83	0.887157869	0.3136092569
84	0.8877382698	0.3122572637
85	0.888501955	0.3109254837
86	0.8900904203	0.3088985325
87	0.8902737048	0.307779746
88	0.8905791789	0.3069743684
89	0.8909152004	0.3049670815
90	0.8919538123	0.3035455748
91	0.891556696	0.3020128842
92	0.8914956012	0.301022224
93	0.8927174976	0.2993353921
94	0.8933589932	0.2981812106
95	0.8940310362	0.2976323479
96	0.8948863636	0.2965669278
97	0.8948252688	0.2957069822
98	0.8951918377	0.2944208276
99	0.8952223851	0.2933278709
100	0.8958333333	0.2919807751
101	0.8959249756	0.290966118
