iter	Passed	Remaining
0	61	123158
1	116	116267
2	175	117020
3	231	115358
4	284	113651
5	332	110352
6	378	107840
7	424	105680
8	471	104307
9	519	103450
10	567	102612
11	615	101975
12	661	101116
13	710	100719
14	757	100270
15	812	100727
16	869	101401
17	923	101675
18	979	102176
19	1037	102677
20	1097	103438
21	1162	104554
22	1229	105643
23	1290	106291
24	1340	105889
25	1389	105481
26	1443	105461
27	1495	105313
28	1544	104967
29	1594	104712
30	1644	104435
31	1693	104168
32	1744	103955
33	1794	103777
34	1845	103628
35	1896	103469
36	1947	103297
37	1999	103221
38	2050	103091
39	2099	102888
40	2149	102726
41	2202	102686
42	2252	102516
43	2301	102325
44	2352	102185
45	2401	101998
46	2450	101818
47	2502	101758
48	2553	101670
49	2603	101539
50	2653	101412
51	2702	101236
52	2751	101081
53	2800	100931
54	2850	100820
55	2901	100738
56	2955	100731
57	3005	100627
58	3054	100479
59	3103	100358
60	3155	100308
61	3208	100291
62	3259	100209
63	3309	100116
64	3359	100007
65	3411	99978
66	3461	99862
67	3510	99738
68	3561	99662
69	3612	99599
70	3662	99511
71	3712	99400
72	3761	99296
73	3812	99224
74	3864	99184
75	3917	99172
76	3968	99105
77	4018	99016
78	4067	98914
79	4117	98827
80	4167	98725
81	4218	98669
82	4267	98575
83	4319	98532
84	4370	98468
85	4422	98416
86	4480	98525
87	4535	98543
88	4586	98491
89	4638	98441
90	4688	98351
91	4738	98274
92	4789	98218
93	4840	98142
94	4891	98087
95	4950	98190
96	5009	98276
97	5072	98448
98	5134	98598
99	5193	98675
100	5252	98751
101	5303	98680
102	5352	98588
103	5401	98478
104	5453	98424
105	5511	98477
106	5567	98497
107	5631	98652
108	5693	98767
109	5752	98841
110	5813	98937
111	5873	99017
112	5935	99125
113	5993	99151
114	6047	99120
115	6102	99116
116	6166	99244
117	6222	99242
118	6279	99251
119	6333	99225
120	6394	99295
121	6442	99174
122	6490	99050
123	6540	98950
124	6590	98850
125	6637	98715
126	6686	98612
127	6737	98528
128	6788	98455
129	6843	98443
130	6909	98584
131	6981	98797
132	7038	98809
133	7107	98975
134	7179	99179
135	7239	99222
136	7303	99312
137	7363	99348
138	7424	99407
139	7474	99302
140	7522	99183
141	7573	99101
142	7624	99014
143	7673	98899
144	7719	98761
145	7765	98616
146	7812	98475
147	7865	98422
148	7929	98504
149	7995	98609
150	8051	98586
151	8110	98601
152	8158	98494
153	8206	98369
154	8255	98267
155	8301	98132
156	8350	98020
157	8402	97961
158	8462	97983
159	8529	98086
160	8584	98058
161	8651	98151
162	8709	98152
163	8764	98122
164	8817	98066
165	8875	98056
166	8933	98059
167	8988	98015
168	9036	97901
169	9085	97804
170	9136	97721
171	9186	97636
172	9238	97560
173	9284	97430
174	9331	97316
175	9385	97262
176	9432	97149
177	9479	97033
178	9527	96920
179	9575	96822
180	9629	96773
181	9688	96774
182	9755	96865
183	9808	96803
184	9855	96690
185	9902	96577
186	9949	96463
187	10008	96464
188	10056	96363
189	10103	96247
190	10151	96148
191	10198	96034
192	10247	95945
193	10294	95837
194	10343	95740
195	10406	95781
196	10463	95768
197	10521	95754
198	10580	95752
199	10628	95658
200	10676	95560
201	10724	95462
202	10772	95356
203	10819	95254
204	10866	95148
205	10915	95061
206	10972	95039
207	11032	95047
208	11092	95054
209	11140	94962
210	11187	94857
211	11236	94764
212	11282	94659
213	11331	94569
214	11379	94474
215	11434	94442
216	11496	94461
217	11557	94477
218	11612	94438
219	11661	94353
220	11710	94269
