iter	Accuracy	MultiClass
0	0.7364288987	1.5184476
1	0.7632503437	1.332928086
2	0.7835955399	1.195831957
3	0.7875362762	1.089209363
4	0.7950511685	1.002876418
5	0.7956926837	0.9319013749
6	0.7956621353	0.8739522113
7	0.7968535207	0.8211072868
8	0.8011302887	0.7769418021
9	0.7997556133	0.738603355
10	0.8012219337	0.7024094488
11	0.8015274171	0.6742913697
12	0.8031770276	0.6474886606
13	0.8043989614	0.6247408183
14	0.8077898274	0.6035058806
15	0.8104169849	0.5852806474
16	0.811944402	0.5689958189
17	0.8156712998	0.5525658859
18	0.8164961051	0.5395308114
19	0.8168932335	0.5270312656
20	0.8197647778	0.5156388936
21	0.8234305789	0.5041652083
22	0.8236138689	0.494391899
23	0.8264854132	0.4841087631
24	0.8269741867	0.4740106696
25	0.8257522529	0.4673262743
26	0.8309149229	0.4607295793
27	0.833603177	0.4549894246
28	0.8358943027	0.4479944904
29	0.8366580113	0.442837296
30	0.8365969146	0.4377760511
31	0.8388880403	0.4326632195
32	0.838857492	0.4284605903
33	0.8403543608	0.4237219802
34	0.8423094547	0.4196052986
35	0.8429815183	0.4155400726
36	0.845455934	0.4111845394
37	0.8470138995	0.407648442
38	0.8480219948	0.4037711601
39	0.8515045059	0.3995721528
40	0.853123568	0.3949023285
41	0.8533374064	0.3922659266
42	0.8543455018	0.3893495913
43	0.8544065984	0.3877731825
44	0.8547426302	0.385368079
45	0.8576141744	0.3822421322
46	0.8585000764	0.3798687699
47	0.8597831068	0.3771588688
48	0.8613716206	0.3739239793
49	0.8628073927	0.3717265055
50	0.8640598748	0.3684955347
51	0.8651596151	0.3664084978
52	0.8657705819	0.3639549793
53	0.8664120971	0.361744535
54	0.8669619673	0.3596915597
55	0.8672063541	0.3583730192
56	0.8687032229	0.3566686093
57	0.8694669314	0.354823917
58	0.8703528334	0.3530398471
59	0.8714220254	0.3504594148
60	0.8723079273	0.3482764866
61	0.8731938292	0.3459811146
62	0.8738964411	0.3449052706
63	0.874599053	0.3426444069
64	0.8749045364	0.3408312424
65	0.8755460516	0.3394594347
66	0.8758209867	0.3373711297
67	0.8771040171	0.3347604568
68	0.8777455323	0.3326970344
69	0.8782343058	0.3315863527
70	0.8782343058	0.3303241345
71	0.8801588514	0.3278170573
72	0.8806781732	0.3267058278
73	0.88092256	0.3258905191
74	0.8822055903	0.3233206452
75	0.8821139453	0.3219741481
76	0.883244234	0.3197793154
77	0.8837024591	0.3181202358
78	0.8838857492	0.3169753821
79	0.884221781	0.3156809868
80	0.8854131663	0.314101649
81	0.8861463266	0.3124976657
82	0.8864212616	0.3113777744
83	0.8870627768	0.3096229558
84	0.8873071636	0.3087732346
85	0.8880097755	0.3071144727
86	0.8882541622	0.3056122874
87	0.8887123874	0.3048713277
88	0.8892317092	0.3040155596
89	0.8898732244	0.3025506564
90	0.8906063846	0.3013485425
91	0.8910035131	0.2993819642
92	0.8912784481	0.2984657117
93	0.8923170918	0.2971237057
94	0.892866962	0.2963828037
95	0.8933862838	0.2950241653
96	0.893936154	0.2935418823
97	0.8941805407	0.2926496969
98	0.8945471208	0.2918236183
99	0.8947915076	0.2910878974
100	0.8958301512	0.2897301062
101	0.8963800214	0.2884743341
102	0.8969604399	0.2876390223
103	0.8972659233	0.2865182545
104	0.8976325034	0.2856176889
105	0.8981212769	0.284821287
106	0.8987933405	0.2840125409
107	0.8991599206	0.2827250556
108	0.8993126623	0.2816233523
109	0.8996181457	0.2809887273
110	0.9003207576	0.2802673917
111	0.9001680159	0.2793910816
112	0.9014204979	0.2781751558
113	0.9013288529	0.2771461972
114	0.9023674966	0.276042372
115	0.902764625	0.2749176328
116	0.9034061402	0.2737432864
117	0.9031006568	0.2731090492
118	0.9040782038	0.2720902071
119	0.9046891706	0.2707433724
120	0.9054223308	0.2697944391
121	0.9056667176	0.2688968656
122	0.9061249427	0.2678156905
123	0.9067053612	0.2667552367
124	0.9067970063	0.2656603533
125	0.9072552314	0.2647441628
126	0.9072246831	0.2639551055
127	0.9073468764	0.2632281077
128	0.9078967466	0.2625216052
129	0.9084466168	0.2616088286
130	0.9085993585	0.2609541959
131	0.9093325187	0.2602408414
132	0.9097907439	0.2595579788
133	0.9098212922	0.2587446288
134	0.9106460974	0.2574280439
135	0.9110737742	0.2566028129
136	0.9117763861	0.2557313176
137	0.9119596762	0.2552620044
138	0.912478998	0.2546904527
139	0.9125095464	0.2536570392
140	0.9126928364	0.2530471787
141	0.912570643	0.2522620306
142	0.9129983198	0.2515867672
143	0.9131205132	0.2508317798
144	0.9133649	0.249879977
145	0.9136092867	0.2488765326
146	0.9142508019	0.2481498295
147	0.9143729953	0.2476346382
148	0.914709027	0.2467077601
149	0.9151978005	0.2462576911
150	0.9151978005	0.2457666476
151	0.9159309607	0.2452519707
152	0.9159615091	0.2448709711
153	0.9159920574	0.2442583069
154	0.9163586375	0.2433108358
155	0.9169085077	0.2425130527
156	0.9173667329	0.2415576756
157	0.917824958	0.2407864098
158	0.9181915381	0.2401874235
159	0.91907744	0.2391619852
160	0.9193218268	0.2386996076
161	0.9196273102	0.2378288674
162	0.920146632	0.2372773952
163	0.9202077287	0.2366821326
164	0.9206965022	0.2360261864
165	0.9211547274	0.2355821956
166	0.9213380174	0.2348791346
167	0.9215213075	0.2343956017
168	0.9217045975	0.2336860268
169	0.9221322743	0.232845241
170	0.9223155644	0.2323622584
171	0.9227737895	0.2316426976
172	0.9230181763	0.2312502149
173	0.923262563	0.2306305837
174	0.923354208	0.2301525619
175	0.9235069497	0.2296276264
176	0.9235985948	0.2288258304
177	0.9237513365	0.2283674496
178	0.9239346265	0.2277939958
179	0.9244844967	0.2269237131
180	0.9246372384	0.2265480253
181	0.9249732702	0.2256369614
182	0.9252787536	0.2249931144
183	0.9254620437	0.2246833416
184	0.9255231404	0.2242677012
185	0.9255842371	0.223780817
186	0.9258286238	0.2233711751
187	0.9262257523	0.2226129152
188	0.926378494	0.2223135818
189	0.9264395907	0.2216880964
190	0.9267145257	0.2209069569
191	0.9269894608	0.2201370407
192	0.9272338476	0.2197118966
193	0.9273560409	0.2194666185
194	0.9275698793	0.2190451153
195	0.927722621	0.2185980401
196	0.9282724912	0.2182135768
197	0.9284863296	0.2177965273
198	0.9284557813	0.2174889749
199	0.9287612647	0.217060766
200	0.9290667481	0.2162405336
201	0.9292194898	0.2156327004
202	0.9293722316	0.2153682666
203	0.9294333282	0.215216081
204	0.92976936	0.2146469293
205	0.9296471666	0.2142013106
206	0.9297999084	0.2137764987
207	0.9301053918	0.2134919579
208	0.9304108752	0.2131211754
209	0.930655262	0.2127548474
210	0.9308996487	0.2123527415
211	0.9308996487	0.2120981893
212	0.9309912937	0.2117644057
213	0.9313273255	0.2112636834
214	0.9314189705	0.2108943385
215	0.9317244539	0.2101347711
216	0.9317855506	0.2094937647
217	0.9319688407	0.2092512817
218	0.9321826791	0.2085370596
219	0.9324270658	0.2082142748
220	0.9325187109	0.2077579677
221	0.9327630976	0.2072379752
222	0.9330074843	0.2068262053
223	0.9331602261	0.2064537148
224	0.9334962578	0.2057994745
225	0.9337100962	0.2051663217
226	0.9338322896	0.2047376378
227	0.9343821598	0.2042332847
228	0.9346265465	0.2038452311
229	0.9348098366	0.2034991089
230	0.9355735451	0.2030531395
231	0.9357568352	0.2027417089
232	0.9357873835	0.2024376878
233	0.9360012219	0.2019851718
234	0.9361234153	0.2015551095
235	0.936276157	0.2011899169
236	0.9367343822	0.2007214624
237	0.9368565755	0.2004158004
238	0.937253704	0.1998534488
239	0.9375897358	0.1993239216
240	0.9378341225	0.1987386628
241	0.9379868642	0.1983591475
242	0.938231251	0.1978732974
243	0.938322896	0.197543938
244	0.9388727662	0.1967775218
245	0.9391171529	0.1964757798
246	0.939300443	0.1960634774
247	0.9396670231	0.1957588789
248	0.9398197648	0.1953989107
249	0.9403696349	0.1950711449
250	0.94046128	0.1942258252
251	0.94046128	0.1939896851
252	0.9406751184	0.1936544666
253	0.9409195051	0.1928446152
254	0.9408584084	0.1924542726
255	0.9410722468	0.1922535153
256	0.9412555369	0.1920223746
257	0.941530472	0.19162114
258	0.9416526653	0.1912681531
259	0.941713762	0.1910890297
260	0.9418665037	0.190779413
261	0.9417443104	0.1904263865
262	0.9419886971	0.1899077639
263	0.9422025355	0.1895130058
264	0.9422941805	0.1893013459
265	0.942691309	0.189127492
266	0.942782954	0.1888958471
267	0.9427524057	0.1883946284
268	0.9428135024	0.1880944318
269	0.942782954	0.1876156247
270	0.9430884375	0.1869716569
271	0.9433633725	0.1866837783
272	0.943943791	0.1862858016
273	0.9440659844	0.1859051605
274	0.9442187261	0.1855470787
275	0.9442798228	0.1851159331
276	0.9444325645	0.1848663329
277	0.9445547579	0.1846716224
278	0.944829693	0.1841834258
279	0.9449518864	0.1840242284
280	0.9451962731	0.1836555991
281	0.9456544982	0.1831474637
282	0.9456544982	0.1829744311
283	0.9458683366	0.1826683638
284	0.94599053	0.1822387182
285	0.9460516267	0.1820873077
286	0.9460210784	0.1818140808
287	0.9460516267	0.1816698803
288	0.9462349168	0.1814238546
289	0.9463571101	0.1811603081
290	0.9465404002	0.1808951177
291	0.9466931419	0.1805593833
292	0.946876432	0.1802449189
293	0.947151367	0.1799463966
294	0.9473041088	0.1793613583
295	0.9476706889	0.1791099886
296	0.9479150756	0.1788818735
297	0.9479150756	0.178730885
298	0.9481594623	0.1786069028
299	0.9482816557	0.178289085
300	0.9484343974	0.1779191589
301	0.9486176875	0.1777162283
302	0.9487398809	0.1773264695
303	0.9489537193	0.1769814202
304	0.949198106	0.1766591927
305	0.9493202994	0.1765546868
306	0.9494424927	0.176380043
307	0.9496868795	0.1760829474
308	0.9497479762	0.1757025048
309	0.950175653	0.1754924482
310	0.950358943	0.1751052605
311	0.9507560715	0.1747070301
312	0.9505422331	0.1745272236
313	0.9505727814	0.1741980689
314	0.9506338781	0.1738966336
315	0.9507255231	0.1732881781
316	0.9509393615	0.1728655924
317	0.9510921033	0.1723979723
318	0.9510004582	0.1722480718
319	0.9511531999	0.1720720432
320	0.9512753933	0.1717199221
321	0.9512142966	0.1713888422
322	0.9515197801	0.1711388468
323	0.9517947151	0.1706301028
324	0.9521307469	0.170377704
325	0.9520085535	0.170264932
326	0.9521918436	0.1699301639
327	0.9522529403	0.1697734017
328	0.9523445853	0.1695546509
329	0.9523445853	0.1693667975
330	0.952588972	0.1692394523
331	0.9525278754	0.1690792097
332	0.9526500687	0.1687224047
333	0.9528639071	0.1684284174
334	0.9528944555	0.1681794115
335	0.9531388422	0.1680353558
336	0.9532304872	0.1676914138
337	0.9535359707	0.1672002974
338	0.9537192607	0.166994665
339	0.9537498091	0.166828831
340	0.9541774859	0.1665047661
341	0.9543302276	0.1660121963
342	0.9546051627	0.1657050032
343	0.9548495494	0.1653048269
344	0.9552466779	0.1649778524
345	0.9553077746	0.1647989811
346	0.9556743547	0.1646537735
347	0.9554605163	0.164360907
348	0.9554299679	0.1641176924
349	0.9558576447	0.1637366606
350	0.9559492898	0.163532218
351	0.9560103864	0.163259342
352	0.9560103864	0.1631264003
353	0.9564686116	0.1627636837
354	0.9565297083	0.1625276706
355	0.95668245	0.1623274901
356	0.9567435467	0.1621321098
357	0.9570184817	0.1619517805
358	0.9575072552	0.1616543061
359	0.9573850619	0.1615027947
360	0.9576599969	0.161213224
361	0.9575378036	0.1610454072
362	0.9575989003	0.1608239387
363	0.9576294486	0.1606435852
364	0.9578127387	0.1604225898
365	0.9578738353	0.1601554455
366	0.9577821903	0.1597399534
367	0.9577821903	0.1596206648
368	0.9580265771	0.1595125802
369	0.9580265771	0.1593939166
370	0.9583015121	0.1590774335
371	0.9582404155	0.1589237736
372	0.9584237055	0.1587338495
373	0.9586680923	0.1582603163
374	0.9590652207	0.1579335595
375	0.9591568657	0.1578603432
376	0.9594928975	0.1575765429
377	0.9595234459	0.1573920314
378	0.9594928975	0.1568861299
379	0.959890026	0.1566420632
380	0.9599205743	0.1565180688
381	0.9599511227	0.156151571
382	0.959981671	0.155994921
383	0.9599511227	0.15589432
384	0.9601038644	0.1557479849
385	0.9602260577	0.1555522734
386	0.9603177028	0.1552929745
387	0.9603177028	0.1551806772
388	0.9605926378	0.1548277246
389	0.9606231862	0.1545301368
390	0.9607759279	0.154350787
391	0.9609286696	0.1540188098
392	0.961142508	0.1538858279
393	0.9613257981	0.1536852912
394	0.9613868948	0.1534174321
395	0.9614174431	0.1532286452
396	0.9615701848	0.1530334132
397	0.9617534749	0.1529393319
398	0.9618756682	0.1528364756
399	0.962120055	0.15268207
400	0.9620589583	0.1524288105
401	0.9622727967	0.1521821972
402	0.962120055	0.1520083809
403	0.9622422484	0.1518122602
404	0.9623644417	0.1515994037
405	0.9624560868	0.1514839562
406	0.9624560868	0.1513923761
407	0.9627004735	0.1509033188
408	0.9626088285	0.1507673324
409	0.9628532152	0.150582652
410	0.9628532152	0.150480258
411	0.9630670536	0.1503259506
412	0.9629143119	0.1499779544
413	0.9629754086	0.1498398464
414	0.9631586986	0.1497265034
415	0.963280892	0.1496245542
416	0.9633114404	0.1493431872
417	0.9633114404	0.1492332575
418	0.9635558271	0.1489660436
419	0.9635558271	0.1488129874
420	0.9636474721	0.1486839794
421	0.9637391172	0.1485283237
422	0.9639835039	0.1483529166
423	0.9638918589	0.1481520668
424	0.9639224072	0.1480290024
425	0.9639835039	0.147953913
426	0.9641056973	0.1476717826
427	0.9640446006	0.1475921108
428	0.9639835039	0.1475297032
429	0.9640446006	0.1474293422
430	0.9641056973	0.1472926149
431	0.964350084	0.1471600115
432	0.964350084	0.1470688704
433	0.9647472125	0.1469024097
434	0.9648083091	0.1467292294
435	0.9651137926	0.1461677643
436	0.9651748893	0.1460006792
437	0.9654498243	0.1456338726
438	0.965327631	0.1454216039
439	0.9652970826	0.1452627522
440	0.9652970826	0.1451692358
441	0.965327631	0.1448641501
442	0.965419276	0.1447213242
443	0.9656942111	0.14456246
444	0.9656636627	0.1444493301
445	0.9657858561	0.1442210644
446	0.9657858561	0.1440162066
447	0.9658469528	0.1438565054
448	0.9657858561	0.1437653559
449	0.9659691462	0.143525675
450	0.9660607912	0.1434394552
451	0.9659080495	0.1433066755
452	0.9660607912	0.143098582
453	0.9661218879	0.1430005342
454	0.9662135329	0.1427901773
455	0.9662746296	0.1427139179
456	0.9663051779	0.1426029735
457	0.9663357263	0.1423670528
458	0.9666106614	0.1420711011
459	0.9667328547	0.1419202223
460	0.9667634031	0.1417787184
461	0.9667939514	0.1415845389
462	0.9670383382	0.1413207051
463	0.9669466931	0.1412255467
464	0.9670688865	0.1411552301
465	0.9671605315	0.1409895535
466	0.9671910799	0.1407476934
467	0.9672827249	0.1406449235
468	0.9673132733	0.1403525994
469	0.967466015	0.1399774668
470	0.96755766	0.1396497969
471	0.967649305	0.1395009427
472	0.9677409501	0.1393744733
473	0.9678631434	0.1389410154
474	0.9682297235	0.1387141651
475	0.9683213686	0.1385127308
476	0.9684435619	0.138094736
477	0.9683824653	0.1378384297
478	0.9684741103	0.1376752537
479	0.968535207	0.1373432331
480	0.968626852	0.1371704069
481	0.968718497	0.1370017937
482	0.9687795937	0.1368879744
483	0.9689017871	0.1366537882
484	0.9688712387	0.1365978181
485	0.9688712387	0.1365207211
486	0.9689934321	0.1363943363
487	0.9691461738	0.1362817574
488	0.9692683672	0.1361178624
489	0.9692989155	0.1359748602
490	0.9697571407	0.1354586412
491	0.969787689	0.1353641781
492	0.9699709791	0.1351397259
493	0.969879334	0.1347736681
494	0.9699404307	0.1345826628
495	0.9700626241	0.1343181783
496	0.9701848175	0.1341909119
497	0.9702153658	0.1341017484
498	0.9700931724	0.1339854998
499	0.9702764625	0.1337526192
500	0.9702764625	0.1336545336
501	0.9702764625	0.1335509834
502	0.9703070108	0.1334262373
503	0.9703681075	0.1333414517
504	0.9704292042	0.1331562149
505	0.9704903009	0.133086163
506	0.9706430426	0.1329227191
507	0.970765236	0.1328014709
508	0.9708874294	0.1327302938
509	0.9710096227	0.1325725577
510	0.9710096227	0.1324891005
511	0.9710707194	0.1323826488
512	0.9711012678	0.1320372879
513	0.9711318161	0.1319187503
514	0.9712234611	0.1318622651
515	0.9713762028	0.1315010029
516	0.9714372995	0.1313793528
517	0.9714067512	0.1310600342
518	0.9714372995	0.1309846055
519	0.9715594929	0.1308464615
520	0.9715900412	0.1307480551
521	0.9715594929	0.1305738887
522	0.971834428	0.1301648717
523	0.972017718	0.1300763033
524	0.9718649763	0.1299876054
525	0.9719871697	0.1297127509
526	0.9720788147	0.1295980988
527	0.9721399114	0.129543612
528	0.9721399114	0.1293641268
529	0.9722010081	0.1292698462
530	0.9722010081	0.1292416336
531	0.9723842982	0.1291397333
532	0.9724453948	0.1290701264
533	0.9724453948	0.1289393358
534	0.9725370399	0.1287026121
535	0.9725981366	0.1286400316
536	0.9725981366	0.1284361665
537	0.9726897816	0.1282311088
538	0.9729341683	0.1280215612
539	0.97290362	0.1279484496
540	0.9730258133	0.1278130028
541	0.9730258133	0.1275634918
542	0.9730258133	0.127402932
543	0.9730563617	0.1273088778
544	0.9729341683	0.1272048449
545	0.9730258133	0.1271152448
546	0.9730563617	0.1268740071
547	0.9732396517	0.126710063
548	0.9731174584	0.1265771365
549	0.9731785551	0.1265202131
550	0.97308691	0.1264189818
551	0.9730563617	0.12637169
552	0.9731174584	0.1263105686
553	0.9730563617	0.1262290882
554	0.9733923935	0.1259660062
555	0.9733618451	0.1258918863
556	0.9736062319	0.1258379582
557	0.9735451352	0.1257370572
558	0.9735451352	0.1256094373
559	0.9736367802	0.1253404144
560	0.9735756835	0.1252791387
561	0.9735145868	0.1252022399
562	0.9735756835	0.1251494682
563	0.9735451352	0.1249033477
564	0.9736978769	0.124667078
565	0.9737895219	0.1246170593
566	0.9739422636	0.12437869
567	0.9740339087	0.1242055558
568	0.974064457	0.1241360889
569	0.9741255537	0.1239624122
570	0.9742782954	0.1237058098
571	0.9743699404	0.1236248928
572	0.9744004888	0.1235216097
573	0.9743699404	0.1234727264
574	0.9743699404	0.1233599989
575	0.9744615855	0.1232293295
576	0.9745226821	0.123109189
577	0.9744615855	0.1230449132
578	0.9744615855	0.1228819953
579	0.9745532305	0.1228315064
580	0.9745226821	0.1227562719
581	0.9745226821	0.1226601498
582	0.9747059722	0.1225780536
583	0.9745837788	0.1225437888
584	0.9746448755	0.1224584451
585	0.9749198106	0.1222401454
586	0.9749198106	0.122132095
587	0.9749503589	0.1219553447
588	0.9750114556	0.1218954992
589	0.9750725523	0.1216893252
590	0.975133649	0.1216409104
591	0.9751947457	0.121579878
592	0.9752558424	0.1214682024
593	0.9752558424	0.1213100408
594	0.9753780357	0.121203626
595	0.9754391324	0.1210431118
596	0.9755002291	0.1208437666
597	0.9754391324	0.120576381
598	0.9755002291	0.120512719
599	0.9755307775	0.1204686998
600	0.9755918741	0.1203355935
601	0.9756529708	0.1202509773
602	0.9755918741	0.1200344691
603	0.9756529708	0.1199285366
604	0.9756835192	0.1197697321
605	0.9756835192	0.119706858
606	0.9758668092	0.1196209438
607	0.9758668092	0.119519274
608	0.9759584543	0.1193512081
609	0.9759584543	0.1192853104
610	0.9759584543	0.1192245837
611	0.9760195509	0.1191262117
612	0.976111196	0.1190587408
613	0.976111196	0.1190071693
614	0.9761417443	0.1188080395
615	0.9761417443	0.1186928281
616	0.976202841	0.1184156325
617	0.976294486	0.1181794216
618	0.9764472277	0.1180102722
619	0.9763861311	0.117945363
620	0.9763861311	0.1178764293
621	0.9764166794	0.1176400052
622	0.9765083244	0.1174738139
623	0.9765999695	0.1174040554
624	0.9765999695	0.1173327408
625	0.9767221628	0.1172487972
626	0.9766916145	0.117181198
627	0.9767527112	0.1170912146
628	0.9768138079	0.1170372558
629	0.9766610661	0.1169038408
630	0.9767527112	0.116817861
631	0.9769360012	0.1165946876
632	0.9771498396	0.1164372467
633	0.9769665496	0.1163481346
634	0.9771498396	0.1161607543
635	0.9771192913	0.1160639893
636	0.977180388	0.1160235992
637	0.977180388	0.115923301
638	0.9770581946	0.1157745551
639	0.9772414846	0.1156796062
640	0.9772109363	0.1156341699
641	0.9773025813	0.1154899601
642	0.9773331297	0.1154488479
643	0.977363678	0.1153277094
644	0.9774247747	0.1153041695
645	0.9774858714	0.1151708099
646	0.9774247747	0.1151381467
647	0.9775469681	0.1148514697
648	0.9775469681	0.114775679
649	0.9775469681	0.1147006088
650	0.9775164197	0.1146610346
651	0.9775775164	0.1144882423
652	0.9776080648	0.1144024305
653	0.9776997098	0.1143104787
654	0.9778524515	0.1142311958
655	0.9778829998	0.1141306373
656	0.9778524515	0.1139921418
657	0.9780051932	0.1139357225
658	0.9779746449	0.1138218007
659	0.9780968382	0.113524425
660	0.9782190316	0.1134228977
661	0.9783106766	0.1132994547
662	0.978341225	0.1132212564
663	0.978341225	0.1131764687
664	0.9783106766	0.1130279299
665	0.978341225	0.1129827286
666	0.9782801283	0.112897168
667	0.9782190316	0.1125631616
668	0.9783106766	0.1122949342
669	0.9784634184	0.1121137109
670	0.9785856117	0.1119895511
671	0.9786161601	0.1118815565
672	0.9788605468	0.1117679901
673	0.9789827402	0.1116324307
674	0.9790743852	0.1114969264
675	0.9791354819	0.1113848079
676	0.9791049336	0.1113313821
677	0.9791354819	0.1111981757
678	0.9791965786	0.1111429951
679	0.9791660302	0.111073703
680	0.979318772	0.110731631
681	0.9792882236	0.1106475496
682	0.9793798686	0.1105687427
683	0.9793798686	0.1104374444
684	0.9792882236	0.1103109913
685	0.9792882236	0.1102215857
686	0.9792882236	0.1100018025
687	0.9793493203	0.1099368751
688	0.9793493203	0.1098581259
689	0.9794409653	0.1097897944
690	0.9794715137	0.1095548464
691	0.9794715137	0.1094537426
692	0.979502062	0.1093537932
693	0.9793798686	0.10926603
694	0.9794409653	0.1091912192
695	0.979593707	0.1090109794
696	0.9796548037	0.1089416003
697	0.9796242554	0.1088748062
698	0.9797464488	0.1087842022
699	0.9796242554	0.1087086329
700	0.9797464488	0.1086298931
701	0.9798075454	0.1085702233
702	0.9798686421	0.1084781968
703	0.9799602872	0.1082185531
704	0.9800213838	0.1080453151
705	0.9802963189	0.1078973008
706	0.9802963189	0.1078184379
707	0.9802963189	0.1077667042
708	0.9803268673	0.1077242399
709	0.9803268673	0.1076801557
710	0.980387964	0.107633971
711	0.9804490606	0.1075899082
712	0.980479609	0.1075648228
713	0.9805101573	0.1074103021
714	0.9804185123	0.107339871
715	0.9804490606	0.1072843253
716	0.9805101573	0.1071753121
717	0.9805407057	0.1071014482
718	0.980571254	0.1070335931
719	0.980571254	0.1069318464
720	0.9805101573	0.1068995922
721	0.9805407057	0.1068135096
722	0.9805407057	0.1067547835
723	0.9806018024	0.1066065656
724	0.9806323507	0.106576676
725	0.9806323507	0.1065323213
726	0.9805407057	0.1064754265
727	0.980479609	0.1063247387
728	0.9806934474	0.1062220769
729	0.9807850924	0.1060533438
730	0.9807545441	0.1059811827
731	0.9809072858	0.1058796783
732	0.9809378341	0.1057662245
733	0.9810294792	0.1057107443
734	0.9811211242	0.1055563953
735	0.9810294792	0.1054878721
736	0.9810600275	0.1053402148
737	0.9811516725	0.1053057823
738	0.9810905758	0.1051675816
739	0.9810905758	0.105103411
740	0.9810905758	0.1050834728
741	0.9810905758	0.1050408413
742	0.9810905758	0.1049828122
743	0.9811516725	0.1048822395
744	0.9812738659	0.1047760153
745	0.9813655109	0.1046482838
746	0.9813655109	0.1045896715
747	0.9813655109	0.1045368872
748	0.9813349626	0.1044756682
749	0.9814877043	0.1043875588
750	0.9814877043	0.1043560964
751	0.9814571559	0.10429957
752	0.9814266076	0.104258254
753	0.981640446	0.1041816429
754	0.981640446	0.1041450942
755	0.981732091	0.1040978032
756	0.9817626394	0.1040185112
757	0.9817626394	0.1039470713
758	0.9818542844	0.1038809705
759	0.9820070261	0.1038008256
760	0.9819764778	0.1036396687
761	0.9821292195	0.1035598845
762	0.9821292195	0.1034848439
763	0.9821597678	0.1033870943
764	0.9822819612	0.1033622264
765	0.9822819612	0.103301034
766	0.9822514129	0.1032263052
767	0.9822208645	0.1031082224
768	0.9822514129	0.1029674827
769	0.9821903162	0.1029431172
770	0.9822208645	0.1028724195
771	0.9823736062	0.1027497884
772	0.9824957996	0.1027008623
773	0.9824957996	0.1025989238
774	0.9825263479	0.1025669903
775	0.9826485413	0.1025367997
776	0.9825263479	0.1024837687
777	0.9827707347	0.1023604724
778	0.982801283	0.1023233069
779	0.9829234764	0.1022515588
780	0.9829234764	0.1022136649
781	0.9829845731	0.1021462755
782	0.9830151214	0.1020049646
783	0.9830151214	0.1019462561
784	0.9830762181	0.1018900245
785	0.9831373148	0.1018321578
786	0.9831678631	0.1017951561
787	0.9831984115	0.1016609142
788	0.9831678631	0.1015891053
789	0.9831067665	0.1014417174
790	0.9832289598	0.1013631389
791	0.9832289598	0.1013215597
792	0.9831984115	0.1012805601
793	0.9831678631	0.1012011961
794	0.9831067665	0.1011264845
795	0.9831373148	0.1010425688
796	0.9831984115	0.1008979867
797	0.9831984115	0.1007452255
798	0.9831373148	0.1006896604
799	0.9832595082	0.1006110116
800	0.9832595082	0.1005448269
801	0.9832900565	0.1003779852
802	0.9833817015	0.1002186876
803	0.9832900565	0.1001684791
804	0.9834122499	0.1000401349
805	0.9834733466	0.0999649047
806	0.9835038949	0.09992171559
807	0.9836260883	0.09986376169
808	0.9835649916	0.09976482846
809	0.9836566366	0.09967956241
810	0.9836566366	0.09963952677
811	0.9836566366	0.09942843
812	0.9836566366	0.09939907662
813	0.9837177333	0.09930367369
814	0.9837482817	0.09924699099
815	0.9837177333	0.09921020568
816	0.9837482817	0.0990674732
817	0.98377883	0.09903191799
818	0.98377883	0.09882293102
819	0.98377883	0.09876618082
820	0.9838399267	0.09872583893
821	0.9839315717	0.09864326831
822	0.9839315717	0.0986159754
823	0.9839926684	0.09843103844
824	0.9839621201	0.09827054939
825	0.9839315717	0.09824626262
826	0.9839621201	0.09821400015
827	0.9840537651	0.09811289265
828	0.9841148618	0.09796873308
829	0.9840843134	0.09793615618
830	0.9841759585	0.09783376853
831	0.9841148618	0.09776471236
832	0.9841148618	0.09773598617
833	0.9840843134	0.09769036324
834	0.9842065068	0.09760542062
835	0.9843287002	0.09754612411
836	0.9842981518	0.09741777682
837	0.9842676035	0.09736098504
838	0.9842370551	0.09732652824
839	0.9842370551	0.09725466559
840	0.9842370551	0.09719694887
841	0.9842370551	0.09714470791
842	0.9842981518	0.09710882715
843	0.9843287002	0.09707178616
844	0.9843897969	0.09701224623
845	0.9843592485	0.0968910098
