iter	Passed	Remaining
0	155	310173
1	214	214392
2	271	180584
3	327	163625
4	393	157099
5	443	147485
6	495	141002
7	550	136951
8	602	133268
9	660	131451
10	718	129828
11	779	129054
12	829	126848
13	881	125065
14	932	123444
15	983	121992
16	1032	120454
17	1084	119415
18	1247	130098
19	1392	137854
20	1450	136657
21	1510	135819
22	1573	135245
23	1624	133729
24	1673	132171
25	1723	130865
26	1779	130053
27	1834	129207
28	1889	128386
29	1943	127645
30	1995	126759
31	2046	125857
32	2096	124940
33	2147	124166
34	2198	123449
35	2256	123096
36	2315	122847
37	2394	123607
38	2563	128894
39	2627	128752
40	2690	128566
41	2755	128452
42	2823	128483
43	2881	128111
44	2938	127663
45	2996	127282
46	3052	126859
47	3110	126512
48	3171	126258
49	3229	125968
50	3291	125781
51	3349	125459
52	3405	125099
53	3464	124839
54	3528	124764
55	3761	130585
56	3888	132565
57	3962	132673
58	4040	132910
59	4102	132655
60	4161	132289
61	4220	131917
62	4277	131524
63	4336	131169
64	4395	130837
65	4450	130414
66	4521	130455
67	4591	130446
68	4654	130270
69	4727	130334
70	4797	130330
71	4921	131785
72	5075	133966
73	5154	134153
74	5224	134089
75	5290	133924
76	5362	133921
77	5421	133586
78	5484	133366
79	5547	133133
80	5610	132918
81	5670	132633
82	5728	132300
83	5786	131983
84	5845	131705
85	5916	131686
86	5986	131641
87	6061	131706
88	6328	135886
89	6394	135697
90	6461	135544
91	6531	135455
92	6609	135536
93	6669	135232
94	6726	134892
95	6786	134595
96	6844	134283
97	6903	133993
98	6966	133765
99	7025	133484
100	7084	133193
101	7154	133128
102	7225	133072
103	7295	133001
104	7430	134093
105	7599	135789
106	7668	135659
107	7749	135753
108	7827	135795
109	7896	135680
110	7961	135489
111	8038	135498
112	8111	135451
113	8174	135233
114	8243	135114
115	8305	134887
116	8365	134634
117	8425	134373
118	8485	134129
119	8550	133952
120	8769	136177
121	8901	137026
122	8970	136891
123	9042	136799
124	9116	136750
125	9195	136758
126	9258	136545
127	9312	136188
128	9362	135788
129	9416	135457
130	9469	135098
131	9522	134758
132	9573	134394
133	9625	134032
134	9675	133663
135	9727	133323
136	9777	132964
137	9826	132591
138	9913	132727
139	10068	133760
140	10130	133569
141	10206	133545
142	10279	133484
143	10338	133251
144	10403	133088
145	10466	132906
146	10516	132569
147	10567	132234
148	10618	131905
149	10668	131574
150	10717	131233
151	10767	130909
152	10819	130608
153	10870	130307
154	10922	130011
155	10972	129700
156	11023	129402
157	11175	130289
158	11342	131327
159	11401	131122
160	11465	130964
161	11525	130768
162	11589	130607
163	11639	130308
164	11692	130035
165	11742	129736
166	11795	129468
167	11846	129181
168	11897	128898
169	11948	128617
170	11997	128326
171	12048	128055
172	12105	127846
173	12159	127604
174	12213	127368
175	12263	127098
176	12315	126837
177	12415	127086
178	12557	127753
179	12624	127642
180	12695	127590
181	12767	127535
182	12826	127356
183	12878	127109
184	12929	126849
185	12981	126602
186	13031	126338
187	13084	126111
188	13134	125850
189	13184	125602
190	13234	125347
191	13287	125119
192	13341	124912
193	13401	124761
194	13454	124536
195	13507	124319
196	13683	125236
197	13813	125719
198	13872	125550
199	13933	125399
200	13991	125229
201	14055	125107
202	14117	124966
203	14177	124821
204	14239	124684
205	14300	124543
206	14356	124353
207	14408	124136
208	14460	123916
209	14511	123696
210	14565	123498
211	14616	123278
212	14668	123061
213	14719	122842
214	14769	122622
215	14951	123486
216	15014	123370
