iter	Passed	Remaining
0	63	125980
1	114	114353
2	170	113590
3	221	110760
4	270	108063
5	318	105870
6	366	104275
7	415	103488
8	463	102560
9	512	102051
10	561	101561
11	627	103967
12	794	121383
13	914	129683
14	974	128936
15	1032	127977
16	1089	127133
17	1147	126396
18	1211	126330
19	1260	124821
20	1310	123503
21	1365	122736
22	1420	122060
23	1470	121035
24	1520	120127
25	1571	119343
26	1622	118589
27	1675	118026
28	1725	117287
29	1776	116659
30	1832	116375
31	1988	122313
32	2158	128644
33	2278	131757
34	2334	131084
35	2393	130551
36	2449	129975
37	2508	129495
38	2568	129144
39	2628	128791
40	2677	127911
41	2727	127167
42	2779	126478
43	2838	126183
44	2898	125926
45	2956	125602
46	3015	125316
47	3073	124972
48	3135	124843
49	3193	124550
50	3266	124849
51	3508	131425
52	3644	133891
53	3711	133749
54	3776	133552
55	3839	133294
56	3902	133010
57	3973	133036
58	4031	132615
59	4089	132215
60	4149	131912
61	4207	131522
62	4268	131242
63	4328	130925
64	4388	130631
65	4447	130317
66	4506	130019
67	4565	129726
68	4656	130309
69	4947	136407
70	5024	136514
71	5096	136476
72	5162	136284
73	5238	136344
74	5307	136229
75	5371	135978
76	5431	135648
77	5493	135371
78	5553	135047
79	5613	134715
80	5671	134376
81	5731	134070
82	5787	133672
83	5843	133292
84	5900	132941
85	5957	132599
86	6119	134556
87	6276	136364
88	6339	136122
89	6402	135884
90	6465	135630
91	6529	135422
92	6598	135300
93	6654	134929
94	6712	134606
95	6770	134278
96	6827	133955
97	6887	133673
98	6943	133334
99	6999	132989
100	7055	132650
101	7113	132372
102	7173	132122
103	7232	131845
104	7450	134472
105	7614	136048
106	7672	135740
107	7731	135440
108	7786	135090
109	7842	134741
110	7903	134509
111	7957	134132
112	8003	133653
113	8050	133184
114	8098	132741
115	8146	132305
116	8193	131860
117	8240	131433
118	8289	131024
119	8337	130623
120	8385	130213
121	8432	129799
122	8480	129411
123	8527	129012
124	8575	128625
125	8753	130188
126	8938	131829
127	8994	131550
128	9052	131297
129	9110	131052
130	9167	130790
131	9232	130653
132	9286	130355
133	9334	129982
134	9381	129601
135	9429	129245
136	9479	128903
137	9525	128527
138	9572	128165
139	9620	127812
140	9667	127456
141	9714	127107
142	9763	126784
143	9810	126445
144	9858	126114
145	9904	125776
146	9987	125899
147	10213	127807
148	10325	128273
149	10381	128037
150	10436	127798
151	10493	127579
152	10556	127435
153	10603	127107
154	10652	126797
155	10700	126489
156	10748	126175
157	10797	125874
158	10846	125587
159	10894	125285
160	10942	124985
161	10989	124683
162	11037	124389
163	11084	124094
164	11132	123811
165	11180	123527
166	11228	123241
167	11276	122962
168	11427	123806
169	11567	124521
170	11624	124335
171	11681	124146
172	11736	123948
173	11793	123765
174	11854	123622
175	11912	123460
176	11960	123182
177	12007	122906
178	12056	122654
179	12104	122387
180	12153	122134
181	12200	121875
182	12249	121624
183	12298	121377
184	12345	121114
185	12392	120860
186	12440	120615
187	12488	120368
188	12543	120190
189	12772	121671
190	12896	122141
191	12953	121978
192	13011	121824
193	13065	121632
194	13120	121447
195	13183	121342
196	13233	121119
197	13282	120884
198	13330	120648
199	13378	120408
200	13427	120180
201	13475	119944
202	13524	119721
203	13572	119489
204	13620	119265
205	13668	119032
206	13715	118801
207	13762	118570
208	13809	118340
209	13856	118109
210	14082	119400
211	14221	119942
212	14277	119781
213	14333	119624
214	14389	119463
215	14442	119286
216	14497	119119
217	14560	119023
218	14609	118813
219	14658	118603
220	14705	118377
221	14754	118167
222	14802	117954
223	14850	117739
224	14896	117517
225	14943	117300
226	14990	117088
