iter	Accuracy	MultiClass
0	0.7354675138	1.518877027
1	0.7607599963	1.334038637
2	0.7838531325	1.195273341
3	0.7905428109	1.08915567
4	0.7930781684	1.00498344
5	0.7979350582	0.9317566456
6	0.8025781226	0.872713733
7	0.8013257171	0.820644672
8	0.8016922748	0.7752306275
9	0.8023948438	0.7380926503
10	0.8059687815	0.7022676584
11	0.8041054464	0.6738652764
12	0.8043192718	0.6490860106
13	0.804716376	0.6270243073
14	0.8069462687	0.6053096465
15	0.8123224486	0.5864468094
16	0.8128417387	0.5695003651
17	0.8149188991	0.5533678305
18	0.817606989	0.5392549781
19	0.8187983016	0.5257605749
20	0.8217613098	0.5135451797
21	0.8221889605	0.504094191
22	0.8233802731	0.4947332065
23	0.827351315	0.4846746788
24	0.8273818615	0.4757967573
25	0.8280233375	0.4683929256
26	0.8290313712	0.4626639592
27	0.8306503345	0.4553818058
28	0.8317194612	0.4494884363
29	0.833827168	0.4435515256
30	0.8388978831	0.4372460378
31	0.8393255338	0.4337728933
32	0.840425207	0.4298054284
33	0.8421969026	0.4250623514
34	0.8431743898	0.4216142609
35	0.8450071784	0.417124868
36	0.8451599108	0.4127810843
37	0.8496196964	0.4079246605
38	0.850811009	0.4033567791
39	0.8526437975	0.4002898088
40	0.8534380059	0.3971841662
41	0.855240248	0.3942035242
42	0.8565537465	0.3904783358
43	0.8576228732	0.3874671975
44	0.8586309069	0.3848356635
45	0.8599749519	0.3828741212
46	0.860494242	0.3809231839
47	0.8613800898	0.3781251563
48	0.8628157742	0.3745398378
49	0.8629074136	0.3722385643
50	0.8638543544	0.3696095787
51	0.8644347375	0.3676212268
52	0.8656565965	0.3651657713
53	0.8672450133	0.3623093152
54	0.8677643034	0.3606775323
55	0.8685890583	0.3585523916
56	0.8691388948	0.3567329141
57	0.8700552891	0.3551530491
58	0.8719491707	0.3523024802
59	0.8725601002	0.3503273997
60	0.8729572044	0.3484740904
61	0.8743012494	0.345894926
62	0.8745150747	0.3449836451
63	0.8760423985	0.3433828545
64	0.8768366069	0.3405597063
65	0.8778140941	0.3390645979
66	0.8781806519	0.3369637901
67	0.8802578123	0.334729242
68	0.8807465559	0.3329439319
69	0.8815102178	0.3314781129
70	0.8820600544	0.3298893116
71	0.8827626233	0.3281199898
72	0.8836484711	0.3265999015
73	0.8843204936	0.3253464865
74	0.8852979809	0.3237310083
75	0.8854812597	0.3220609069
76	0.8858783639	0.320847184
77	0.8868558512	0.3185209301
78	0.887100223	0.3176692745
79	0.8874362342	0.3168599006
80	0.8879249779	0.3155065212
81	0.8883526285	0.3144335276
82	0.8885664539	0.3133519195
83	0.8885053609	0.3123013399
84	0.8889330116	0.3112098887
85	0.8895744876	0.3098100889
86	0.8894523017	0.3078707266
87	0.8894828482	0.3067160214
88	0.8901854171	0.3054892364
89	0.890307603	0.3044301591
90	0.8905214284	0.3035857141
91	0.8914072762	0.3016186102
92	0.8914072762	0.3006349641
93	0.8922014846	0.2992441292
94	0.8923542169	0.2981855896
95	0.8930262394	0.2969017122
96	0.8930567859	0.2957257197
97	0.8934233436	0.2947184616
98	0.8936677154	0.2935137176
99	0.8944008309	0.2922594198
100	0.8947062956	0.2915007144
101	0.8954088646	0.2899871833
102	0.8957754223	0.2889504547
103	0.8960197941	0.2877605419
104	0.896783456	0.286692109
105	0.8975776644	0.2856904028
106	0.8977303968	0.2849651186
107	0.8979136757	0.2837600248
108	0.8980969545	0.2829836012
109	0.8983413263	0.2817629203
110	0.8989522559	0.2809242045
111	0.8998075572	0.2800235327
112	0.9001435684	0.2792155873
113	0.9004490332	0.2781426807
114	0.9007239515	0.2773479494
115	0.9012126951	0.2764516012
116	0.9013654275	0.2754366598
117	0.9013654275	0.2747016804
118	0.9016708923	0.2739175772
119	0.9017930782	0.2728051776
120	0.9024956471	0.2716810993
121	0.9027705654	0.2704631077
122	0.9031676696	0.2693986723
123	0.9031676696	0.2687968693
124	0.9034731344	0.2681221031
125	0.9039313315	0.2676782108
126	0.9045117146	0.2667881021
127	0.9046949934	0.2661405888
128	0.9047255399	0.2656353702
129	0.9050004582	0.2650693471
130	0.9055808412	0.2641589591
131	0.9060084919	0.2631256644
132	0.9066499679	0.262374571
133	0.9069554327	0.2609377355
134	0.9073830834	0.2600105477
135	0.9079329199	0.2589242757
136	0.9083300241	0.2580480164
137	0.9084827565	0.2576646195
138	0.9086354889	0.2566960471
139	0.9091242325	0.2558011449
140	0.9096129761	0.2550565932
141	0.9102544521	0.2541667532
142	0.9108348352	0.2533619247
143	0.9112930323	0.2527586101
144	0.911781776	0.2519131769
145	0.9116290436	0.2513491687
146	0.9119039619	0.2508167496
147	0.9119956013	0.2496146697
148	0.9127287167	0.2492197686
149	0.9133396463	0.2481757201
150	0.9138589364	0.2471611005
151	0.9140116688	0.2465661472
152	0.9146531448	0.2459134016
153	0.9147753307	0.2453952342
154	0.9150807954	0.2444583012
155	0.9153557137	0.2437758652
156	0.9154473531	0.2432145443
157	0.9154473531	0.2427514499
158	0.9161804686	0.2418053896
159	0.9161804686	0.2414389587
160	0.9161499221	0.2405613456
161	0.9165775728	0.2398655803
162	0.9168830375	0.2393324525
163	0.9172495953	0.2388214786
164	0.9181048966	0.2380039043
165	0.9181659896	0.2372671056
166	0.9183492684	0.236638065
167	0.9184714543	0.236227736
168	0.9185936402	0.235746592
169	0.9189296515	0.2351728273
170	0.9189601979	0.2348110321
171	0.9192656627	0.2340608306
172	0.919479488	0.2331994827
173	0.9199376852	0.2328717624
174	0.9199987781	0.2322737096
175	0.92024315	0.2317005336
176	0.9205486147	0.2311167775
177	0.9207929865	0.2306064114
178	0.9211900907	0.2300885085
179	0.9212206372	0.2295261392
180	0.9220453921	0.2286944141
181	0.9223203104	0.2278777935
182	0.9224424963	0.2270726452
183	0.9229923328	0.2262619272
184	0.9231756117	0.2258092522
185	0.9235116229	0.2251962391
186	0.9239392736	0.2246531595
187	0.9243669243	0.2240521792
188	0.9243669243	0.2237392294
189	0.9247029355	0.2234068074
190	0.9251305862	0.2229115582
191	0.9256498763	0.2223627504
192	0.9258637016	0.2220617934
193	0.9261997129	0.2216991074
194	0.9266884565	0.2210550319
195	0.9267495494	0.2205291138
196	0.9268411889	0.2199614183
197	0.9272382931	0.219611707
198	0.9277881296	0.2191925855
199	0.9276048508	0.2188575677
200	0.9278797691	0.2180236558
201	0.9278186761	0.217778057
202	0.9280325015	0.2172658269
203	0.9280630479	0.2169655352
204	0.9288267098	0.2163252876
205	0.9292543605	0.215839036
206	0.9296820112	0.2152731552
207	0.9297125577	0.2149038535
208	0.9301402083	0.2144361455
